date,symbol,name,amount,price
2021-12-06,159985,豆粕ETF华夏,1840700,1.183
2021-12-07,561800,稀金属,2042400,1.017
2021-12-08,511880,银华日利,20300,102.098
2021-12-09,159980,有色ETF大成,1434800,1.452
2021-12-13,516780,稀土ETF,1375800,1.518
2021-12-16,512690,酒ETF,1476700,1.359
2021-12-17,515170,食品饮料,2217000,0.893
2021-12-20,512690,酒ETF,1472800,1.338
2021-12-22,159985,豆粕ETF华夏,1625500,1.213
2021-12-23,159980,有色ETF大成,1354000,1.473
2021-12-29,159985,豆粕ETF华夏,1614600,1.239
2021-12-30,159855,影视ETF银华,1904800,1.103
2021-12-31,159985,豆粕ETF华夏,1695400,1.219
2022-01-04,513500,标普500,719200,2.896
2022-01-05,512980,传媒ETF,2358400,0.883
2022-01-07,501018,南方原油,2318500,0.924
2022-01-10,159980,有色ETF大成,1434600,1.49
2022-01-17,501018,南方原油,2330600,0.958
2022-01-18,159980,有色ETF大成,1477300,1.525
2022-01-25,501018,南方原油,2336600,0.959
2022-01-26,518880,黄金ETF,610100,3.678
2022-02-11,501018,南方原油,2317700,1.017
2022-02-16,159985,豆粕ETF华夏,1625300,1.425
2022-02-17,159980,有色ETF大成,1468300,1.579
2022-02-18,159766,旅游ETF富国,2168400,1.078
2022-02-24,501018,南方原油,2309400,1.099
2022-02-25,159608,稀有金属ETF广发,2576200,1.013
2022-03-03,501018,南方原油,2407000,1.24
2022-03-04,518880,黄金ETF,781300,3.849
2022-03-08,159985,豆粕ETF华夏,1983400,1.569
2022-03-09,518880,黄金ETF,790500,4.071
2022-03-29,159985,豆粕ETF华夏,1967900,1.635
2022-04-07,513100,纳指ETF,3302700,0.944
2022-04-15,511880,银华日利,30900,100.686
2022-04-21,159980,有色ETF大成,1812700,1.731
2022-04-22,518880,黄金ETF,798500,3.946
2022-04-25,159980,有色ETF大成,1807300,1.693
2022-04-29,511880,银华日利,30300,100.774
2022-05-05,518880,黄金ETF,774100,3.93
2022-05-09,511880,银华日利,30100,100.8
2022-05-10,501018,南方原油,2268300,1.261
2022-05-13,511880,银华日利,28300,100.827
2022-05-23,501018,南方原油,2161400,1.336
2022-05-24,512670,国防ETF,3392500,0.852
2022-05-25,515790,光伏ETF,2089500,1.371
2022-05-31,501018,南方原油,2143900,1.407
2022-06-01,159755,电池ETF广发,3003800,1.039
2022-06-02,516590,电动汽车,2662400,1.189
2022-06-07,515220,煤炭ETF,1319800,2.478
2022-06-09,516520,智能驾驶,3471300,0.919
2022-06-13,159886,机械ETF富国,2812600,1.162
2022-06-17,159761,新材料ETF国泰,3808300,0.891
2022-06-20,159886,机械ETF富国,2843700,1.222
2022-06-24,159790,碳中和ETF华夏,3548900,1.02
2022-06-27,159915,创业板ETF易方达,1324200,2.766
2022-06-30,159605,中概互联ETF广发,4064500,0.873
2022-07-01,512690,酒ETF,3782100,0.922
2022-07-04,159814,创业大盘ETF西部利得,6444300,0.548
2022-07-06,159967,创业板成长ETF华夏,5065700,0.699
2022-07-07,159790,碳中和ETF华夏,3430400,1.063
2022-07-12,511880,银华日利,36000,101.111
2022-07-13,513100,纳指ETF,4462000,0.817
2022-07-14,513500,标普500,3002300,1.208
2022-07-15,511880,银华日利,35800,101.128
2022-07-20,513100,纳指ETF,4410600,0.853
2022-07-21,513500,标普500,2992400,1.261
2022-08-02,513100,纳指ETF,4376700,0.887
2022-08-03,513500,标普500,2969600,1.306
2022-08-12,513100,纳指ETF,4381500,0.913
2022-08-22,588100,科创信息,3622700,1.055
2022-08-23,513500,标普500,2820000,1.337
2022-08-24,159786,VRETF银华,4591600,0.791
2022-08-25,515220,煤炭ETF,1376500,2.765
2022-08-30,159985,豆粕ETF华夏,2300600,1.624
2022-08-31,518880,黄金ETF,984500,3.763
2022-09-01,159985,豆粕ETF华夏,2269700,1.628
2022-09-02,511880,银华日利,36400,101.327
2022-09-06,159985,豆粕ETF华夏,2248000,1.65
2022-09-07,511880,银华日利,36500,101.339
2022-09-13,159985,豆粕ETF华夏,2241500,1.748
2022-09-16,159768,房地产ETF银华,4089100,0.944
2022-09-22,159985,豆粕ETF华夏,2234700,1.779
2022-09-23,159980,有色ETF大成,2724300,1.446
2022-09-26,159985,豆粕ETF华夏,2232700,1.728
2022-09-27,511880,银华日利,38000,101.409
2022-09-29,159985,豆粕ETF华夏,2202300,1.793
2022-10-10,511880,银华日利,38900,101.479
2022-10-11,518880,黄金ETF,1033500,3.806
