date,before,weak,below,above,weak_start,weak_days,detail
2020-03-18,True,True,4,0,2020-03-18,2,000300.XSHG:2020-03-17:3709.6800:3985.2320:below|399101.XSHE:2020-03-17:9659.9800:10413.3840:below|399006.XSHE:2020-03-17:1917.7000:2082.0280:below|000510.XSHG:2020-03-17:4201.3963:4504.8349:below
2020-03-19,True,True,4,0,2020-03-19,2,000300.XSHG:2020-03-18:3636.2600:3937.3530:below|399101.XSHE:2020-03-18:9533.4400:10290.1370:below|399006.XSHE:2020-03-18:1887.0400:2053.7880:below|000510.XSHG:2020-03-18:4124.1307:4451.6531:below
2020-03-20,True,True,4,0,2020-03-20,2,000300.XSHG:2020-03-19:3589.0900:3875.5890:below|399101.XSHE:2020-03-19:9601.0000:10156.0140:below|399006.XSHE:2020-03-19:1894.9400:2022.3230:below|000510.XSHG:2020-03-19:4084.8474:4385.4265:below
2020-03-23,True,True,4,0,2020-03-23,2,000300.XSHG:2020-03-20:3653.2200:3827.0600:below|399101.XSHE:2020-03-20:9702.4600:10038.0160:below|399006.XSHE:2020-03-20:1915.0500:1994.5340:below|000510.XSHG:2020-03-20:4153.4931:4332.2481:below
2020-03-24,True,True,4,0,2020-03-24,2,000300.XSHG:2020-03-23:3530.3100:3780.3780:below|399101.XSHE:2020-03-23:9276.5400:9919.5980:below|399006.XSHE:2020-03-23:1827.0500:1967.9330:below|000510.XSHG:2020-03-23:4002.3171:4281.8927:below
2020-03-25,True,True,4,0,2020-03-25,2,000300.XSHG:2020-03-24:3625.1100:3734.6160:below|399101.XSHE:2020-03-24:9436.4500:9793.1650:below|399006.XSHE:2020-03-24:1876.9100:1940.7430:below|000510.XSHG:2020-03-24:4104.1180:4230.7553:below
2020-03-26,True,False,0,4,None,2,000300.XSHG:2020-03-25:3722.5200:3704.0250:above|399101.XSHE:2020-03-25:9713.9600:9710.9230:above|399006.XSHE:2020-03-25:1937.8500:1924.3820:above|000510.XSHG:2020-03-25:4214.9529:4196.9750:above
2020-03-27,False,False,1,3,None,0,000300.XSHG:2020-03-26:3698.0500:3678.7390:above|399101.XSHE:2020-03-26:9612.7100:9642.4350:below|399006.XSHE:2020-03-26:1927.2800:1912.5170:above|000510.XSHG:2020-03-26:4183.4218:4168.9156:above
2020-03-30,False,False,1,3,None,0,000300.XSHG:2020-03-27:3710.0600:3660.2140:above|399101.XSHE:2020-03-27:9553.2000:9578.5160:below|399006.XSHE:2020-03-27:1903.8800:1899.8470:above|000510.XSHG:2020-03-27:4186.0715:4146.6957:above
2020-03-31,False,True,3,1,2020-03-31,0,000300.XSHG:2020-03-30:3674.1100:3654.8410:above|399101.XSHE:2020-03-30:9362.6100:9545.2350:below|399006.XSHE:2020-03-30:1860.4800:1894.8180:below|000510.XSHG:2020-03-30:4129.1092:4138.3858:below
2020-04-01,True,True,2,2,2020-03-31,2,000300.XSHG:2020-03-31:3686.1600:3652.4890:above|399101.XSHE:2020-03-31:9430.2700:9522.2640:below|399006.XSHE:2020-03-31:1871.9200:1890.2400:below|000510.XSHG:2020-03-31:4142.1316:4132.4593:above
2020-04-02,True,True,3,1,2020-04-02,3,000300.XSHG:2020-04-01:3675.0800:3656.3710:above|399101.XSHE:2020-04-01:9399.1600:9508.8360:below|399006.XSHE:2020-04-01:1864.8000:1888.0160:below|000510.XSHG:2020-04-01:4131.4771:4133.1940:below
2020-04-03,True,False,0,4,None,2,000300.XSHG:2020-04-02:3734.5300:3670.9150:above|399101.XSHE:2020-04-02:9621.5500:9510.8910:above|399006.XSHE:2020-04-02:1916.9500:1890.2170:above|000510.XSHG:2020-04-02:4213.2841:4146.0376:above
2020-04-07,False,False,0,4,None,0,000300.XSHG:2020-04-03:3713.2200:3676.9150:above|399101.XSHE:2020-04-03:9580.4100:9498.6860:above|399006.XSHE:2020-04-03:1906.6700:1889.3790:above|000510.XSHG:2020-04-03:4185.8363:4149.2720:above
2020-04-08,False,False,0,4,None,0,000300.XSHG:2020-04-07:3798.0200:3703.6860:above|399101.XSHE:2020-04-07:9893.4200:9560.3740:above|399006.XSHE:2020-04-07:1969.7800:1903.6520:above|000510.XSHG:2020-04-07:4292.2996:4178.2702:above
2020-04-09,False,False,0,4,None,0,000300.XSHG:2020-04-08:3780.3400:3719.2090:above|399101.XSHE:2020-04-08:9874.9900:9604.2280:above|399006.XSHE:2020-04-08:1964.7600:1912.4370:above|000510.XSHG:2020-04-08:4279.0156:4195.7600:above
2020-04-10,False,False,0,4,None,0,000300.XSHG:2020-04-09:3792.8100:3726.2380:above|399101.XSHE:2020-04-09:9949.1400:9627.7460:above|399006.XSHE:2020-04-09:1997.1400:1918.3660:above|000510.XSHG:2020-04-09:4299.6235:4204.2270:above
2020-04-13,False,False,0,4,None,0,000300.XSHG:2020-04-10:3769.1800:3733.3510:above|399101.XSHE:2020-04-10:9729.2300:9639.3980:above|399006.XSHE:2020-04-10:1949.8800:1920.6260:above|000510.XSHG:2020-04-10:4255.3159:4211.4164:above
2020-04-14,False,False,1,3,None,0,000300.XSHG:2020-04-13:3753.2600:3737.6710:above|399101.XSHE:2020-04-13:9640.4200:9648.1200:below|399006.XSHE:2020-04-13:1923.0800:1922.5460:above|000510.XSHG:2020-04-13:4230.6250:4215.8718:above
2020-04-15,False,False,0,4,None,0,000300.XSHG:2020-04-14:3825.7000:3752.8300:above|399101.XSHE:2020-04-14:9876.4900:9699.5080:above|399006.XSHE:2020-04-14:1985.4300:1935.0410:above|000510.XSHG:2020-04-14:4318.6954:4234.8304:above
2020-04-16,False,False,0,4,None,0,000300.XSHG:2020-04-15:3797.3600:3763.9500:above|399101.XSHE:2020-04-15:9836.1400:9740.0950:above|399006.XSHE:2020-04-15:1977.5100:1945.6000:above|000510.XSHG:2020-04-15:4290.3501:4249.6523:above
2020-04-17,False,False,0,4,None,0,000300.XSHG:2020-04-16:3802.3800:3776.6800:above|399101.XSHE:2020-04-16:9880.6800:9788.2470:above|399006.XSHE:2020-04-16:2008.3900:1959.9590:above|000510.XSHG:2020-04-16:4307.3698:4267.2415:above
2020-04-20,False,False,0,4,None,0,000300.XSHG:2020-04-17:3839.4900:3787.1760:above|399101.XSHE:2020-04-17:9913.4200:9817.4340:above|399006.XSHE:2020-04-17:2020.7700:1970.3410:above|000510.XSHG:2020-04-17:4348.1013:4280.7233:above
2020-04-21,False,False,0,4,None,0,000300.XSHG:2020-04-20:3853.4600:3801.2000:above|399101.XSHE:2020-04-20:10024.0100:9861.7940:above|399006.XSHE:2020-04-20:2043.4400:1984.0180:above|000510.XSHG:2020-04-20:4374.6726:4299.6069:above
2020-04-22,False,False,0,4,None,0,000300.XSHG:2020-04-21:3808.0500:3802.2030:above|399101.XSHE:2020-04-21:9942.5300:9866.7050:above|399006.XSHE:2020-04-21:2023.9400:1989.4340:above|000510.XSHG:2020-04-21:4326.2417:4303.0011:above
2020-04-23,False,False,0,4,None,0,000300.XSHG:2020-04-22:3839.3800:3808.1070:above|399101.XSHE:2020-04-22:10050.9000:9884.2960:above|399006.XSHE:2020-04-22:2043.1700:1997.2750:above|000510.XSHG:2020-04-22:4361.6898:4311.2685:above
2020-04-24,False,False,0,4,None,0,000300.XSHG:2020-04-23:3829.7500:3811.8010:above|399101.XSHE:2020-04-23:10003.1600:9889.6980:above|399006.XSHE:2020-04-23:2029.5200:2000.5130:above|000510.XSHG:2020-04-23:4346.1397:4315.9201:above
2020-04-27,False,True,4,0,2020-04-27,0,000300.XSHG:2020-04-24:3796.9700:3814.5800:below|399101.XSHE:2020-04-24:9842.4300:9901.0180:below|399006.XSHE:2020-04-24:2003.7500:2005.9000:below|000510.XSHG:2020-04-24:4301.2862:4320.5172:below
2020-04-28,True,True,2,2,2020-04-27,2,000300.XSHG:2020-04-27:3822.7700:3821.5310:above|399101.XSHE:2020-04-27:9849.9900:9921.9750:below|399006.XSHE:2020-04-27:2018.6700:2015.4590:above|000510.XSHG:2020-04-27:4322.0776:4329.6624:below
2020-04-29,True,False,1,3,None,3,000300.XSHG:2020-04-28:3849.1500:3823.8760:above|399101.XSHE:2020-04-28:9819.2300:9916.2490:below|399006.XSHE:2020-04-28:2030.7200:2019.9880:above|000510.XSHG:2020-04-28:4340.1281:4331.8057:above
2020-04-30,False,False,1,3,None,0,000300.XSHG:2020-04-29:3867.0300:3830.8430:above|399101.XSHE:2020-04-29:9807.4100:9913.3760:below|399006.XSHE:2020-04-29:2030.4800:2025.2850:above|000510.XSHG:2020-04-29:4354.0355:4338.1742:above
2020-05-06,False,False,0,4,None,0,000300.XSHG:2020-04-30:3912.5800:3841.8630:above|399101.XSHE:2020-04-30:10004.9000:9925.7980:above|399006.XSHE:2020-04-30:2069.4300:2031.3890:above|000510.XSHG:2020-04-30:4420.9937:4349.5366:above
2020-05-07,False,False,0,4,None,0,000300.XSHG:2020-05-06:3936.2500:3851.5390:above|399101.XSHE:2020-05-06:10159.8700:9950.4430:above|399006.XSHE:2020-05-06:2110.2700:2040.3390:above|000510.XSHG:2020-05-06:4467.8395:4361.5104:above
2020-05-08,False,False,0,4,None,0,000300.XSHG:2020-05-07:3924.8900:3858.6820:above|399101.XSHE:2020-05-07:10136.4200:9961.6840:above|399006.XSHE:2020-05-07:2106.8400:2046.6790:above|000510.XSHG:2020-05-07:4455.3873:4369.5819:above
2020-05-11,False,False,0,4,None,0,000300.XSHG:2020-05-08:3963.6200:3874.2390:above|399101.XSHE:2020-05-08:10231.1600:9990.5470:above|399006.XSHE:2020-05-08:2125.2400:2056.8090:above|000510.XSHG:2020-05-08:4499.5497:4386.9127:above
2020-05-12,False,False,0,4,None,0,000300.XSHG:2020-05-11:3960.1800:3886.3190:above|399101.XSHE:2020-05-11:10201.0800:10005.5650:above|399006.XSHE:2020-05-11:2102.8300:2062.7750:above|000510.XSHG:2020-05-11:4496.0819:4400.3519:above
2020-05-13,False,False,0,4,None,0,000300.XSHG:2020-05-12:3960.2400:3899.3680:above|399101.XSHE:2020-05-12:10226.1500:10027.8640:above|399006.XSHE:2020-05-12:2124.1500:2072.2380:above|000510.XSHG:2020-05-12:4505.1964:4416.2576:above
2020-05-14,False,False,0,4,None,0,000300.XSHG:2020-05-13:3968.2500:3916.4960:above|399101.XSHE:2020-05-13:10300.0600:10073.6270:above|399006.XSHE:2020-05-13:2140.6800:2085.9310:above|000510.XSHG:2020-05-13:4517.1137:4437.8403:above
2020-05-15,False,False,1,3,None,0,000300.XSHG:2020-05-14:3925.2200:3926.7410:below|399101.XSHE:2020-05-14:10186.1000:10107.2380:above|399006.XSHE:2020-05-14:2117.6500:2095.8290:above|000510.XSHG:2020-05-14:4471.8871:4452.8213:above
2020-05-18,False,False,2,2,None,0,000300.XSHG:2020-05-15:3912.8200:3933.1080:below|399101.XSHE:2020-05-15:10196.3400:10144.9490:above|399006.XSHE:2020-05-15:2124.3100:2105.1880:above|000510.XSHG:2020-05-15:4464.9832:4465.3068:below
2020-05-19,False,True,3,1,2020-05-19,0,000300.XSHG:2020-05-18:3922.9100:3938.6960:below|399101.XSHE:2020-05-18:10131.8000:10177.3880:below|399006.XSHE:2020-05-18:2114.8600:2113.6260:above|000510.XSHG:2020-05-18:4464.6841:4476.3717:below
