date,log_date,time,target,target_raw,top10_raw,top1
2024-06-26,2024-06-26,13:10:00,513100,513100.SH,"513100.SH:1.0205,513500.SH:0.7138,513290.SH:0.4356,159529.SZ:0.4210,501018.SH:0.1469,159502.SZ:0.1242",513100
2024-06-27,2024-06-27,13:10:00,513100,513100.SH,"513100.SH:1.0251,513500.SH:0.8617,513290.SH:0.3860,501018.SH:0.2100,159502.SZ:0.1041,513400.SH:0.0522",513100
2024-06-28,2024-06-28,13:10:00,159509,159509.SZ,"159509.SZ:4.6390,513100.SH:1.2163,513290.SH:0.4896,501018.SH:0.3760,159502.SZ:0.1737,513400.SH:0.1391",159509
2024-07-01,2024-07-01,13:10:00,159509,159509.SZ,"159509.SZ:3.9236,513100.SH:1.1691,513500.SH:1.1257,501018.SH:0.4661,513290.SH:0.4248,513400.SH:0.2033,159502.SZ:0.1365,513520.SH:0.0160",159509
2024-07-02,2024-07-02,13:10:00,159509,159509.SZ,"159509.SZ:3.2201,513500.SH:1.1807,513100.SH:1.1587,501018.SH:0.6901,159529.SZ:0.5878,513400.SH:0.2763,159502.SZ:0.1166,513520.SH:0.1026",159509
2024-07-03,2024-07-03,13:10:00,513100,513100.SH,"513100.SH:1.4026,513500.SH:1.3414,501018.SH:0.9264,159529.SZ:0.6937,513400.SH:0.4197",513100
2024-07-04,2024-07-04,13:10:00,513100,513100.SH,"513100.SH:1.6395,513500.SH:1.4053,501018.SH:1.1672,159529.SZ:0.7551,513400.SH:0.5573",513100
2024-07-05,2024-07-05,13:10:00,513100,513100.SH,"513100.SH:1.6066,501018.SH:1.3449,513500.SH:1.1779,159529.SZ:0.7439,513400.SH:0.5846,513310.SH:0.0858,159518.SZ:0.0021,518880.SH:0.0017",513100
2024-07-08,2024-07-08,13:10:00,513100,513100.SH,"513100.SH:1.8304,513520.SH:1.3984,501018.SH:1.3402,513500.SH:1.1947,159529.SZ:0.8061,159509.SZ:0.7362,513400.SH:0.6147,513310.SH:0.0549,161226.SZ:0.0281,518880.SH:0.0145",513100
2024-07-09,2024-07-09,13:10:00,513520,513520.SH,"513520.SH:2.2785,513100.SH:2.1126,513500.SH:1.1442,159529.SZ:0.8245,159509.SZ:0.7522,513400.SH:0.6840,161226.SZ:0.0766,513310.SH:0.0725,513290.SH:0.0647,518880.SH:0.0139",513520
2024-07-10,2024-07-10,13:10:00,513520,513520.SH,"513520.SH:3.1534,513100.SH:1.9364,513500.SH:0.9869,159529.SZ:0.8128,159509.SZ:0.5838,161226.SZ:0.1774,513290.SH:0.0674,513310.SH:0.0500,518880.SH:0.0406,513030.SH:0.0092",513520
2024-07-11,2024-07-11,13:10:00,513520,513520.SH,"513520.SH:3.9785,513100.SH:1.9351,513500.SH:0.9850,159529.SZ:0.9150,513400.SH:0.7029,159509.SZ:0.6094,161226.SZ:0.2885,513290.SH:0.1089,518880.SH:0.0873,513310.SH:0.0565",513520
2024-07-12,2024-07-12,13:10:00,513500,513500.SH,"513500.SH:0.7158,159529.SZ:0.7084,512800.SH:0.6791,501018.SH:0.6484,159732.SZ:0.4503,161226.SZ:0.4040,513630.SH:0.2834,518880.SH:0.2080",513500
2024-07-15,2024-07-15,13:10:00,517520,517520.SH,"517520.SH:0.9082,512800.SH:0.9064,513500.SH:0.8966,161226.SZ:0.6127,159732.SZ:0.4474,501018.SH:0.4427,518880.SH:0.3355,513630.SH:0.3153,513030.SH:0.3140",517520
2024-07-16,2024-07-16,13:10:00,513520,513520.SH,"513520.SH:3.1144,517520.SH:1.4151,513400.SH:1.2383,513100.SH:1.1222,512800.SH:0.9639,513500.SH:0.9313,513290.SH:0.8061,159529.SZ:0.7767,159502.SZ:0.7422,159732.SZ:0.6963",513520
2024-07-17,2024-07-17,13:10:00,513520,513520.SH,"513520.SH:2.6855,517520.SH:1.7485,513290.SH:1.3693,512800.SH:1.1078,513500.SH:1.0972,513100.SH:0.8290,159732.SZ:0.7330,161226.SZ:0.6197,518880.SH:0.5297,513030.SH:0.4648",513520
2024-07-18,2024-07-18,13:10:00,517520,517520.SH,"517520.SH:1.9047,159502.SZ:1.7899,513520.SH:1.7428,513290.SH:1.5919,512800.SH:1.1261,513500.SH:0.9354,518880.SH:0.6112,159732.SZ:0.5596,513030.SH:0.5508,561330.SH:0.4743",517520
2024-07-19,2024-07-19,13:10:00,513290,513290.SH,"513290.SH:1.4032,513520.SH:1.1098,512800.SH:1.0512,159529.SZ:0.7211,159732.SZ:0.6553,513500.SH:0.5877,518880.SH:0.4456,513030.SH:0.3633,561330.SH:0.3491,159611.SZ:0.1422",513290
2024-07-22,2024-07-22,13:10:00,513290,513290.SH,"513290.SH:1.4128,512800.SH:0.7647,159732.SZ:0.6813,159529.SZ:0.5580,513520.SH:0.4787,518880.SH:0.3436,513500.SH:0.2389,513030.SH:0.1527",513290
2024-07-23,2024-07-23,13:10:00,159502,159502.SZ,"159502.SZ:1.8864,513290.SH:1.7439,512800.SH:0.8257,159529.SZ:0.6343,518880.SH:0.2277,513030.SH:0.2156,513500.SH:0.2032",159502
2024-07-24,2024-07-24,13:10:00,511880,511880.SH,,
2024-07-25,2024-07-25,13:10:00,511880,511880.SH,,
2024-07-26,2024-07-26,13:10:00,159502,159502.SZ,"159502.SZ:1.5798,513290.SH:1.1661",159502
2024-07-29,2024-07-29,13:10:00,159502,159502.SZ,"159502.SZ:1.7825,513290.SH:1.2525,513400.SH:0.1289,513030.SH:0.0012",159502
2024-07-30,2024-07-30,13:10:00,159502,159502.SZ,"159502.SZ:1.4272,513400.SH:0.1279",159502
2024-07-31,2024-07-31,13:10:00,513400,513400.SH,"513400.SH:0.1155,518880.SH:0.0204",513400
2024-08-01,2024-08-01,13:10:00,513400,513400.SH,"513400.SH:0.1358,518880.SH:0.0221,159529.SZ:0.0006",513400
2024-08-02,2024-08-02,13:10:00,518880,518880.SH,518880.SH:0.0280,518880
2024-08-05,2024-08-05,13:10:00,511880,511880.SH,,
2024-08-06,2024-08-06,13:10:00,511880,511880.SH,,
2024-08-07,2024-08-07,13:10:00,511880,511880.SH,,
2024-08-08,2024-08-08,13:10:00,511880,511880.SH,,
2024-08-09,2024-08-09,13:10:00,511880,511880.SH,,
2024-08-12,2024-08-12,13:10:00,511880,511880.SH,,
2024-08-13,2024-08-13,13:10:00,511880,511880.SH,,
2024-08-14,2024-08-14,13:10:00,511880,511880.SH,,
2024-08-15,2024-08-15,13:10:00,511880,511880.SH,,
2024-08-16,2024-08-16,13:10:00,511880,511880.SH,,
2024-08-19,2024-08-19,13:10:00,511880,511880.SH,,
2024-08-20,2024-08-20,13:10:00,518880,518880.SH,518880.SH:0.0031,518880
2024-08-21,2024-08-21,13:10:00,518880,518880.SH,518880.SH:0.0451,518880
2024-08-22,2024-08-22,13:10:00,518880,518880.SH,"518880.SH:0.1266,159509.SZ:0.0344,513520.SH:0.0165,513100.SH:0.0009",518880
2024-08-23,2024-08-23,13:10:00,518880,518880.SH,"518880.SH:0.1505,159509.SZ:0.1302,513520.SH:0.0709,513100.SH:0.0253,513030.SH:0.0044,513500.SH:0.0034,159980.SZ:0.0022",518880
2024-08-26,2024-08-26,13:10:00,159509,159509.SZ,"159509.SZ:0.3010,518880.SH:0.2039,513520.SH:0.1465,513100.SH:0.0966,159980.SZ:0.0452,513030.SH:0.0450,513500.SH:0.0352,159529.SZ:0.0056",159509
2024-08-27,2024-08-27,13:10:00,518880,518880.SH,"518880.SH:0.2234,513030.SH:0.1588,159980.SZ:0.1124,513500.SH:0.1051,159529.SZ:0.0591,161226.SZ:0.0240,501018.SH:0.0000",518880
2024-08-28,2024-08-28,13:10:00,513030,513030.SH,"513030.SH:0.3403,518880.SH:0.2868,159980.SZ:0.2059,159529.SZ:0.1266,161226.SZ:0.1224,159502.SZ:0.0112",513030
2024-08-29,2024-08-29,13:10:00,513030,513030.SH,"513030.SH:0.4660,518880.SH:0.2721,513290.SH:0.0007",513030
2024-08-30,2024-08-30,13:10:00,513400,513400.SH,513400.SH:0.0017,513400
