rank,grid_id,initial_entry_label,initial_entry_minute,stop_loss_profile,stop_loss_windows,trend_check_label,trend_check_minutes,force_buy_minute,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
27,12,none,,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1455,0.6580096415795929,2.4252673190799863,-0.5727976508826795,115,58,50,7,0.40350877192982454,1658009.6415795928,0.17806515317335864,1.1487645603392436,"{""trend_real"": 25, ""force_real"": 23, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 42, ""daily_close"": 8, ""stop_real"": 6, ""stop_proxy"": 1}"
28,26,none,,post_entry,"[[1312, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.6506529611452667,2.388377684855981,-0.5740068513131069,115,58,54,3,0.42105263157894735,1650652.9611452667,0.17825754023498983,1.1335282142657757,"{""trend_real"": 28, ""force_real"": 20, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 2, ""stop_proxy"": 1}"
29,7,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6448423309604976,2.3594068843093905,-0.5741417276648436,115,58,47,10,0.42105263157894735,1644842.3309604975,0.17818313676710382,1.1231413776232715,"{""trend_real"": 29, ""force_real"": 19, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
30,1,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410,"[1340, 1410]",1440,0.6426504756493547,2.3485167351541785,-0.5746407266299017,115,58,47,10,0.43859649122807015,1642650.4756493547,0.1781640189345406,1.1183517733215849,"{""trend_real"": 26, ""force_real"": 22, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
31,20,none,,post_entry,"[[1312, 1456]]",1340_1410,"[1340, 1410]",1450,0.6408684406521405,2.339678116858866,-0.5740068513131069,115,58,54,3,0.42105263157894735,1640868.4406521406,0.17827944877389448,1.1164822147785867,"{""trend_real"": 25, ""force_real"": 23, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 2, ""stop_proxy"": 1}"
32,27,none,,post_entry,"[[1312, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6409159812847738,2.3399137323273056,-0.5746975160981118,115,58,54,3,0.42105263157894735,1640915.9812847737,0.17810533215863966,1.115223162327636,"{""trend_real"": 28, ""force_real"": 20, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 2, ""stop_proxy"": 1}"
33,14,none,,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.6464457098533647,2.3673864113229643,-0.5810349133794462,117,59,51,7,0.39655172413793105,1646445.7098533646,0.17950524691341285,1.112576361536474,"{""trend_real"": 32, ""force_real"": 17, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 43, ""daily_close"": 8, ""stop_real"": 6, ""stop_proxy"": 1}"
34,4,none,,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.6411666324276222,2.341156142949795,-0.5842832967602437,117,59,48,10,0.41379310344827586,1641166.632427622,0.1794545334539459,1.0973557450346216,"{""trend_real"": 33, ""force_real"": 16, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
35,22,none,,post_entry,"[[1312, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.6350618668272547,2.3109738641941835,-0.5816386114354459,115,58,54,3,0.42105263157894735,1635061.8668272546,0.1794761337314345,1.091849568342727,"{""trend_real"": 32, ""force_real"": 16, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 2, ""stop_proxy"": 1}"
36,21,none,,post_entry,"[[1312, 1456]]",1340_1410,"[1340, 1410]",1455,0.625854261723453,2.2657559698940033,-0.5757655350907149,115,58,54,3,0.40350877192982454,1625854.261723453,0.17811671679759158,1.0869950067866538,"{""trend_real"": 25, ""force_real"": 23, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 2, ""stop_proxy"": 1}"
37,15,none,,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.6315178793564835,2.2935262122929037,-0.5824587753541264,117,59,51,7,0.39655172413793105,1631517.8793564835,0.17953775846222086,1.084227598721523,"{""trend_real"": 32, ""force_real"": 17, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 43, ""daily_close"": 8, ""stop_real"": 6, ""stop_proxy"": 1}"
38,23,none,,post_entry,"[[1312, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.6216850065997417,2.2454014882287487,-0.5810554769123727,117,59,54,4,0.39655172413793105,1621685.0065997418,0.17956734842327157,1.0699236670193133,"{""trend_real"": 32, ""force_real"": 17, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_real"": 3, ""stop_proxy"": 1}"
39,55,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410,"[1340, 1410]",1440,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
40,56,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410,"[1340, 1410]",1450,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
41,57,1320,1320.0,full,"[[941, 1028], [1041, 1129], [1301, 1456]]",1340_1410,"[1340, 1410]",1455,0.6197236633351026,2.2358520563607382,-0.583082214183076,117,59,46,12,0.43103448275862066,1619723.6633351026,0.18005423796701256,1.062840965237403,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 38, ""stop_real"": 11, ""daily_close"": 8, ""stop_proxy"": 1}"
