date,value,action,line
2020-06-18,1078523.193510001,close,2020-06-18 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395815 security=513030.XSHG mode=OrderTargetValue: _value=1078523.193510001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-18 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-06-22,1092729.216690001,close,2020-06-22 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395818 security=515030.XSHG mode=OrderTargetValue: _value=1092729.216690001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-06-22 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-07-01,1078230.506770001,close,2020-07-01 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395826 security=159967.XSHE mode=OrderTargetValue: _value=1078230.506770001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-07-01 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-07-13,1221258.5386000013,open,2020-07-13 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395841 security=512890.XSHG mode=OrderTargetValue: _value=1221258.5386000013 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-07-13 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-07-15,1198542.1835500011,close,2020-07-15 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395844 security=510880.XSHG mode=OrderTargetValue: _value=1198542.1835500011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-07-15 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-07-16,1195442.5835500013,close,2020-07-16 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395845 security=510880.XSHG mode=OrderTargetValue: _value=1195442.5835500013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-07-16 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-07-21,1218063.4312700012,close,2020-07-21 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395850 security=161226.XSHE mode=OrderTargetValue: _value=1218063.4312700012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-07-21 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-07-22,1337065.3312700011,close,2020-07-22 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395851 security=161226.XSHE mode=OrderTargetValue: _value=1337065.3312700011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-07-22 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-07-31,1363016.705430001,close,2020-07-31 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395863 security=512010.XSHG mode=OrderTargetValue: _value=1363016.705430001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-07-31 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-03,1396886.5054300008,close,2020-08-03 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395864 security=512010.XSHG mode=OrderTargetValue: _value=1396886.5054300008 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-03 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-04,1395971.105430001,close,2020-08-04 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395865 security=512010.XSHG mode=OrderTargetValue: _value=1395971.105430001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-04 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-05,1418856.105430001,close,2020-08-05 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395866 security=512010.XSHG mode=OrderTargetValue: _value=1418856.105430001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-05 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-06,1387274.8054300009,close,2020-08-06 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395867 security=512010.XSHG mode=OrderTargetValue: _value=1387274.8054300009 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-06 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-11,1330415.508930001,close,2020-08-11 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395872 security=159992.XSHE mode=OrderTargetValue: _value=1330415.508930001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-11 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-13,1263168.132840001,close,2020-08-13 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395875 security=513500.XSHG mode=OrderTargetValue: _value=1263168.132840001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-13 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-14,1265456.5328400012,close,2020-08-14 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395876 security=513500.XSHG mode=OrderTargetValue: _value=1265456.5328400012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-14 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-17,1264312.332840001,close,2020-08-17 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395877 security=513500.XSHG mode=OrderTargetValue: _value=1264312.332840001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-17 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-18,1266600.732840001,close,2020-08-18 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395878 security=513500.XSHG mode=OrderTargetValue: _value=1266600.732840001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-18 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-08-19,1269461.232840001,close,2020-08-19 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395879 security=513500.XSHG mode=OrderTargetValue: _value=1269461.232840001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-08-19 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
