trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2025-05-21,513750,513750,1812300,4526.827477151062,2390423.6999999997,2394950.527477151
2025-05-22,513750,513750,1812300,4526.827477151062,2377737.6,2382264.427477151
2025-05-23,513750,513750,1812300,4526.827477151062,2361426.9,2365953.727477151
2025-05-26,159529,159529,1488800,4628.50412443094,2374636.0,2379264.504124431
2025-05-27,159529,159529,1488800,4628.50412443094,2371658.4,2376286.904124431
2025-05-28,159509,159509,1549000,4582.87162621133,2383911.0,2388493.8716262113
2025-05-29,159529,159529,1516300,4700.283623307478,2432145.2,2436845.4836233077
2025-05-30,159529,159529,1516300,4700.283623307478,2380591.0,2385291.2836233075
2025-06-03,159509,159509,1538200,4596.498214455787,2373442.6,2378039.098214456
2025-06-04,159509,159509,1538200,4596.498214455787,2394977.4,2399573.8982144557
2025-06-05,513120,513120,2263900,4623.466680887621,2390678.4,2395301.8666808875
2025-06-06,513120,513120,2263900,4623.466680887621,2445012.0,2449635.4666808876
2025-06-09,513120,513120,2263900,4623.466680887621,2560470.9,2565094.3666808875
2025-06-10,159892,159892,3553000,5077.565641188063,2646985.0,2652062.565641188
2025-06-11,515120,515120,4326800,5064.541380764451,2635021.1999999997,2640085.741380764
2025-06-12,515120,515120,4326800,5064.541380764451,2704250.0,2709314.5413807645
2025-06-13,515120,515120,4326800,5064.541380764451,2648001.6,2653066.1413807645
2025-06-16,161226,161226,2564500,5027.062015934382,2633741.5,2638768.5620159344
2025-06-17,161226,161226,2564500,5027.062015934382,2638870.5,2643897.5620159344
2025-06-18,161226,161226,2564500,5027.062015934382,2687596.0,2692623.0620159344
2025-06-19,161226,161226,2564500,5027.062015934382,2628612.5,2633639.5620159344
2025-06-20,159518,159518,2732000,4953.995745054446,2573544.0,2578497.9957450544
2025-06-23,159518,159518,2732000,4953.995745054446,2614524.0,2619477.9957450544
2025-06-24,159518,159518,2732000,4953.995745054446,2458800.0,2463753.9957450544
2025-06-25,513120,513120,2122400,4798.509168238845,2476840.8000000003,2481639.309168239
2025-06-26,513120,513120,2122400,4798.509168238845,2398312.0,2403110.509168239
2025-06-27,513750,513750,1579500,4542.34098482877,2367670.5,2372212.840984829
2025-06-30,159851,159851,2902400,4583.605770889204,2366445.7200690047,2371029.325839894
2025-07-01,513090,513090,1255100,4410.6252053445205,2301853.4,2306264.0252053444
2025-07-02,513090,513090,1255100,4410.6252053445205,2284282.0,2288692.6252053445
2025-07-03,159851,159851,2967700,4469.7928751283325,2325733.0748131108,2330202.867688239
2025-07-04,513090,513090,1262800,4621.538091882598,2357647.6,2362269.1380918827
2025-07-07,515880,515880,10172000,4547.140992756467,2375475.988872945,2380023.1298657013
2025-07-08,513090,513090,1272700,4879.65734239528,2484310.4,2489190.057342395
2025-07-09,513090,513090,1272700,4879.65734239528,2467765.3000000003,2472644.9573423956
2025-07-10,159851,159851,3138400,4892.801514922641,2561923.3840138004,2566816.185528723
2025-07-11,159851,159851,3138400,4892.801514922641,2658224.8,2663117.6015149225
2025-07-14,159851,159851,3138400,4892.801514922641,2658224.8,2663117.6015149225
2025-07-15,515050,515050,5962500,5085.30437980406,2653566.7567567565,2658652.0611365605
2025-07-16,159851,159851,3116700,5094.653635951225,2633611.5,2638706.153635951
2025-07-17,159851,159851,3116700,5094.653635951225,2658545.1,2663639.7536359513
2025-07-18,515050,515050,5751800,5073.27858195873,2641661.831351351,2646735.1099333097
2025-07-21,159363,159363,4465200,5060.1555810766295,2652328.8,2657388.9555810764
2025-07-22,159892,159892,3119800,5100.075958852656,2633111.1999999997,2638211.2759588524
2025-07-23,516150,516150,1922100,5069.972547080368,2625588.6,2630658.5725470805
2025-07-24,562800,562800,4196500,5308.548639350105,2773886.5,2779195.04863935
2025-07-25,560860,560860,2673600,5285.258928886149,2772523.1999999997,2777808.458928886
2025-07-28,560860,560860,2673600,5285.258928886149,2777870.4,2783155.658928886
2025-07-29,515120,515120,3940000,5334.836093686521,2773760.0,2779094.8360936865
2025-07-30,515120,515120,3940000,5334.836093686521,2754060.0,2759394.8360936865
2025-07-31,159992,159992,2952600,5202.110648690257,2725249.8000000003,2730451.9106486905
2025-08-01,159509,159509,1523000,5201.647143109702,2700279.0,2705480.6471431097
2025-08-04,159509,159509,1523000,5201.647143109702,2674388.0,2679589.6471431097
2025-08-05,501018,501018,2241100,5338.454061693978,2752070.8,2757409.254061694
2025-08-06,159509,159509,1532700,5426.241905147675,2757327.3,2762753.5419051475
2025-08-07,515050,515050,5813900,5330.107587195933,2791279.578738739,2796609.6863259347
2025-08-08,515050,515050,5813900,5330.107587195933,2781188.1847447446,2786518.2923319405
2025-08-11,159509,159509,1534000,5560.576097917743,2850172.0,2855732.5760979177
2025-08-12,159892,159892,3238000,5543.420585318003,2865630.0,2871173.420585318
2025-08-13,159363,159363,4329200,5659.655521861743,2961172.8000000003,2966832.455521862
2025-08-14,588790,588790,4379700,5517.635989821516,2890602.0,2896119.6359898215
2025-08-15,515980,515980,4503100,5606.717382405885,2932843.1272123894,2938449.8445947953
2025-08-18,515980,515980,4503100,5606.717382405885,3050700.8108407077,3056307.5282231136
