trade_date,jq_top10_raw,is_weak,candidates_json,local_target,jq_target,target_match,local_top1
2021-06-01,"515030.XSHG:3.6844,512670.XSHG:2.6910,512690.XSHG:2.3425,515170.XSHG:2.3198,159949.XSHE:2.2834,512880.XSHG:2.2069,159967.XSHE:2.0626,512710.XSHG:1.9815,516160.XSHG:1.8216,512660.XSHG:1.8103",False,"[{""symbol"": ""515030"", ""rank"": 1, ""momentum_score"": 3.732642650991385, ""annualized_return"": 5.231055252245513, ""r_squared"": 0.7135544304161363, ""close"": 1.875}]",515030,515030,True,515030
2021-06-02,"515030.XSHG:4.5483,512670.XSHG:3.0880,512690.XSHG:2.5456,515170.XSHG:2.3950,512880.XSHG:2.3698,159949.XSHE:2.2774,512710.XSHG:2.2260,512660.XSHG:2.1610,516160.XSHG:2.1583,159967.XSHE:1.9162",False,"[{""symbol"": ""515030"", ""rank"": 1, ""momentum_score"": 4.5863221353379116, ""annualized_return"": 6.09323989811318, ""r_squared"": 0.7526902291764522, ""close"": 1.861}]",515030,515030,True,515030
2021-06-03,"512670.XSHG:3.2271,512690.XSHG:2.9866,515170.XSHG:2.6549,516160.XSHG:2.4878,512710.XSHG:2.2823,512660.XSHG:2.2710,512880.XSHG:2.2650,159949.XSHE:2.2041,588080.XSHG:1.7893,159915.XSHE:1.7698",False,"[{""symbol"": ""515170"", ""rank"": 1, ""momentum_score"": 2.5038617139378223, ""annualized_return"": 3.1633036342281535, ""r_squared"": 0.7915337898155214, ""close"": 0.994}, {""symbol"": ""516160"", ""rank"": 2, ""momentum_score"": 2.3385552875978353, ""annualized_return"": 3.021456730381998, ""r_squared"": 0.7739827163773997, ""close"": 3.1104547283702213}]",515170,512670,False,515170
2021-06-04,"501018.XSHG:0.1718,513030.XSHG:0.0590",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 0.1801121580555344, ""annualized_return"": 0.45327295922260036, ""r_squared"": 0.3973591505754971, ""close"": 0.784}]",501018,501018,True,501018
2021-06-07,"512690.XSHG:3.5358,512670.XSHG:3.1928,515170.XSHG:2.5185,512480.XSHG:2.4146,512660.XSHG:2.3309,588080.XSHG:2.2996,516160.XSHG:2.1953,512710.XSHG:2.1236,159995.XSHE:1.8009,512880.XSHG:1.7726",False,"[{""symbol"": ""515170"", ""rank"": 1, ""momentum_score"": 2.6304967038888027, ""annualized_return"": 3.1990893996598624, ""r_squared"": 0.8222642056106608, ""close"": 1.009}]",515170,512690,False,515170
2021-06-08,"501018.XSHG:0.2221,513030.XSHG:0.1443",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 0.23039205835540402, ""annualized_return"": 0.5340775527964008, ""r_squared"": 0.431383152407518, ""close"": 0.78}]",501018,501018,True,501018
2021-06-09,"501018.XSHG:0.3250,513030.XSHG:0.1799,513100.XSHG:0.0049",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 0.3250150288678067, ""annualized_return"": 0.6849717303463239, ""r_squared"": 0.47449407686281897, ""close"": 0.798}]",501018,501018,True,501018
2021-06-10,"501018.XSHG:0.3959,513030.XSHG:0.1663,513100.XSHG:0.0454,513500.XSHG:0.0004",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 0.40560808846161045, ""annualized_return"": 0.7757526439781697, ""r_squared"": 0.5228575005321214, ""close"": 0.791}]",501018,501018,True,501018
2021-06-11,"159995.XSHE:4.8917,516520.XSHG:3.1243,588080.XSHG:3.0886,516160.XSHG:2.7294,515050.XSHG:2.7089,515880.XSHG:2.3467,516510.XSHG:2.2702,159870.XSHE:2.0259,159869.XSHE:1.9589,159819.XSHE:1.9455",False,"[{""symbol"": ""159995"", ""rank"": 1, ""momentum_score"": 4.859608846499484, ""annualized_return"": 5.12378691736392, ""r_squared"": 0.9484408553429171, ""close"": 1.334}]",159995,159995,True,159995
2021-06-15,"501018.XSHG:0.7334,513100.XSHG:0.2145,513500.XSHG:0.0368,513520.XSHG:0.0179",True,"[{""symbol"": ""501018"", ""rank"": 1, ""momentum_score"": 0.7333960232310249, ""annualized_return"": 1.084594645592479, ""r_squared"": 0.6761936601949518, ""close"": 0.804}]",501018,501018,True,501018
