trade_date,jq_weak,local_weak,below_count,above_count,weak_days_count,match,000300_close,000300_ma10,000300_relation,399101_close,399101_ma10,399101_relation,399006_close,399006_ma10,399006_relation,000510_close,000510_ma10,000510_relation
2021-05-06,False,True,3,1,0,False,5061.124,5104.2588000000005,below,12463.127,12505.9166,below,3014.812,2991.0614,above,5833.785,5858.500600000001,below
2021-05-14,True,False,0,4,0,False,5110.59,5062.7671,above,12422.825,12402.1499,above,3033.806,2989.9462000000003,above,5853.307,5823.125,above
2021-06-03,False,True,3,1,0,False,5255.286,5280.6639000000005,below,12966.927,12895.1688,above,3201.784,3218.9581000000003,below,6053.733,6066.3717,below
2021-06-04,True,False,1,3,0,False,5282.277,5295.4768,below,13063.987,12946.170900000001,above,3242.612,3231.8934,above,6089.263,6085.7708,above
2021-06-07,False,True,3,1,0,False,5277.627,5307.680700000001,below,13119.908,12992.675,above,3228.243,3240.7491,below,6081.273,6101.9027,below
2021-06-10,True,False,1,3,0,False,5271.466,5283.9535000000005,below,13173.147,13053.3995,above,3285.51,3245.8887999999997,above,6119.877,6093.9616000000005,above
2021-06-11,False,True,3,1,0,False,5224.703,5274.3149,below,13022.27,13063.4532,below,3298.497,3252.5094,above,6083.1,6091.318399999999,below
2021-06-23,True,False,1,3,0,False,5147.394,5154.3964,below,13176.7,12969.6622,above,3318.946,3247.8857,above,6029.773,5999.9214,above
2021-07-02,False,True,4,0,0,False,5081.117,5173.3006,below,13052.45,13209.512400000001,below,3333.897,3358.3907999999997,below,5961.757,6055.3157,below
2021-07-12,True,False,0,4,0,False,5132.709,5132.5154999999995,above,13554.008,13290.761199999999,above,3534.763,3410.3394999999996,above,6108.004,6043.293,above
2021-07-16,False,True,3,1,0,False,5094.773,5107.1208,below,13428.448,13394.6861,above,3432.647,3440.4365,below,6037.065,6042.9130000000005,below
2021-07-21,True,False,0,4,0,False,5144.043,5112.835399999999,above,13614.172,13459.437,above,3560.045,3482.4033000000004,above,6120.047,6065.988799999999,above
2021-07-23,False,True,3,1,0,False,5089.228,5121.1641,below,13549.285,13520.7894,above,3469.873,3499.6076000000003,below,6059.249,6083.7022,below
2021-08-02,True,False,1,3,0,False,4933.736,4952.6293,below,13426.021,13293.814499999999,above,3493.359,3432.0394,above,5927.986,5919.033100000001,above
2021-08-13,False,True,3,1,0,False,4945.983,4968.0663,below,13671.113,13577.268,above,3345.126,3465.1150000000002,below,5926.745,5958.6373,below
2021-08-24,True,False,1,3,0,False,4888.39,4896.305899999999,below,13735.434,13511.4278,above,3330.58,3303.814,above,5856.866,5851.2023,above
2021-08-26,False,True,3,1,0,False,4801.609,4867.4133,below,13620.521,13505.469399999998,above,3264.45,3282.7762000000002,below,5782.716,5822.4059,below
2021-08-30,True,False,1,3,0,False,4813.27,4842.739499999999,below,13689.834,13523.169899999999,above,3271.802,3271.0119,above,5820.95,5803.6487,above
2021-08-31,False,True,3,1,0,False,4805.61,4839.5602,below,13642.503,13569.715400000001,above,3214.117,3270.0083,below,5802.57,5807.269399999999,below
2021-09-06,True,False,1,3,0,False,4933.726,4854.9737000000005,above,13767.84,13658.615000000002,above,3228.088,3234.2569,below,5915.321,5835.640299999999,above
2021-09-15,False,True,3,1,0,False,4867.319,4937.0836,below,14071.991,13904.3394,above,3200.399,3202.5642,below,5883.488,5930.035600000001,below
2021-10-08,True,False,1,3,0,False,4929.941,4857.948,above,13497.061,13582.4954,below,3243.204,3198.2757,above,5869.223,5817.2951,above
2021-10-12,False,True,3,1,0,False,4883.837,4873.587100000001,above,13255.044,13501.878699999997,below,3138.263,3199.5102999999995,below,5788.116,5820.748400000001,below
2021-10-13,True,False,1,3,0,False,4940.109,4885.4212,above,13374.998,13460.903699999999,below,3210.159,3204.0934,above,5860.549,5826.1729,above
2021-10-28,False,True,4,0,0,False,4864.138,4923.245599999999,below,13386.937,13551.4814,below,3278.359,3295.31,below,5819.063,5890.2857,below
2021-10-29,True,False,1,3,0,False,4908.77,4920.9118,below,13600.729,13569.3956,above,3350.665,3302.7443999999996,above,5894.052,5891.0339,above
2021-11-18,False,True,3,1,0,False,4837.619,4863.4563,below,13987.121,13878.0864,above,3383.906,3400.6857000000005,below,5825.669,5853.9637999999995,below
2021-11-19,True,False,0,4,0,False,4890.058,4868.227499999999,above,14136.902,13925.482799999998,above,3418.96,3407.3063,above,5890.787,5860.6683,above
2021-12-02,False,True,4,0,0,False,4856.163,4877.249300000001,below,14126.82,14188.516899999999,below,3466.914,3477.8715999999995,below,5882.73,5903.6919,below
2021-12-03,True,False,1,3,0,False,4901.018,4878.345299999999,above,14235.739,14198.400599999999,above,3478.666,3483.8422,below,5934.432,5908.0563999999995,above
2021-12-06,False,True,3,1,0,False,4892.621,4876.3675,above,14095.688,14176.6446,below,3405.935,3473.8630000000003,below,5901.364,5903.5165,below
2021-12-08,True,False,1,3,0,False,4995.93,4885.1703,above,14264.004,14157.310399999998,above,3424.704,3456.0687,below,6000.395,5906.7011,above
2021-12-17,False,True,4,0,0,False,4954.76,5007.3347,below,14232.038,14310.189500000002,below,3434.339,3450.7107000000005,below,5963.415,6014.331100000001,below
2021-12-28,True,False,1,3,0,False,4955.964,4944.911999999999,above,14361.771,14254.1582,above,3328.559,3373.4459,below,5950.718,5949.1089,above
2021-12-29,False,True,3,1,0,False,4883.48,4932.6701,below,14300.179,14248.2938,above,3281.897,3355.1598,below,5873.802,5934.9799,below
2021-12-31,True,False,1,3,0,False,4940.373,4919.909299999999,above,14530.716,14278.3029,above,3322.673,3327.2277999999997,below,5946.595,5919.7558,above
2022-01-04,False,True,3,1,0,False,4917.765,4923.643999999999,below,14565.071,14336.651800000001,above,3250.159,3318.9831000000004,below,5918.184,5924.8874000000005,below
2022-01-18,True,False,0,4,0,False,4813.347,4806.9393,above,14181.299,14130.286499999998,above,3144.333,3119.1684999999998,above,5795.101,5777.1948,above
