date,weak,pool,passed,target,target_raw,top10_raw,top10
2026-01-22,True,17,7,518880,518880.XSHG,518880.XSHG:1.2311:1.6502:0.7460:10.2730:0|501018.XSHG:0.9150:1.2780:0.7160:1.1830:0|513520.XSHG:0.4504:0.6570:0.6856:1.8880:0|520830.XSHG:0.1666:0.3217:0.5179:0.9270:0|159518.XSHE:0.0299:0.1964:0.1523:0.9330:0|513400.XSHG:0.0292:0.1345:0.2171:1.2660:0|513500.XSHG:0.0002:-0.0159:-0.0129:2.4530:0,"['518880', '501018', '513520', '520830', '159518', '513400', '513500']"
2026-01-23,True,17,8,159980,159980.XSHE,159980.XSHE:1.6946:2.1670:0.7820:2.1420:0|518880.XSHG:1.5743:2.1272:0.7401:10.6070:0|501018.XSHG:0.9784:1.3100:0.7468:1.1740:0|513520.XSHG:0.4208:0.6237:0.6746:1.8820:0|520830.XSHG:0.2182:0.3757:0.5808:0.9340:0|159518.XSHE:0.0900:0.3016:0.2985:0.9270:0|513400.XSHG:0.0243:0.1226:0.1982:1.2650:0|159985.XSHE:0.0099:0.0606:0.1638:1.9660:0,"['159980', '518880', '501018', '513520', '520830', '159518', '513400', '159985']"
2026-01-26,False,114,50,562500,562500.XSHG,562500.XSHG:4.9299:5.2500:0.9390:1.1070:0|159998.XSHE:4.8480:6.1195:0.7922:1.1260:0|159852.XSHE:4.8205:6.9197:0.6966:0.9750:0|516510.XSHG:4.5646:6.3310:0.7210:1.9050:0|588080.XSHG:4.5628:4.9204:0.9273:1.5690:0|159870.XSHE:4.5588:4.8734:0.9354:0.9230:0|159256.XSHE:4.5322:7.2090:0.6287:1.1170:0|561360.XSHG:4.3529:4.5731:0.9518:1.4120:0|515790.XSHG:4.1947:4.7569:0.8818:1.1260:0|515980.XSHG:3.6887:4.6411:0.7948:0.9700:0,"['562500', '159998', '159852', '516510', '588080', '159870', '159256', '561360', '515790', '515980']"
2026-01-27,False,114,47,515400,515400.XSHG,515400.XSHG:4.6840:6.7200:0.6970:1.0620:0|561360.XSHG:4.6324:4.8695:0.9513:1.3950:0|510500.XSHG:4.6170:4.9055:0.9412:8.5380:0|516150.XSHG:4.4604:5.3879:0.8278:2.0740:0|515790.XSHG:4.2380:4.7811:0.8864:1.1150:0|588080.XSHG:4.0563:4.4362:0.9144:1.5700:0|159870.XSHE:3.9164:4.2351:0.9248:0.9040:0|159998.XSHE:3.7819:5.0400:0.7504:1.1180:0|562500.XSHG:3.6050:4.0677:0.8863:1.0920:0|516510.XSHG:3.5745:5.2421:0.6819:1.8960:0,"['515400', '561360', '510500', '516150', '515790', '588080', '159870', '159998', '562500', '516510']"
2026-01-28,False,114,48,516190,516190.XSHG,516190.XSHG:4.8569:7.6947:0.6312:1.4300:0|510500.XSHG:4.5368:4.8027:0.9446:8.6880:0|515790.XSHG:4.3087:4.8656:0.8855:1.1090:0|516150.XSHG:4.2208:5.0987:0.8278:2.1300:0|159870.XSHE:4.1517:4.4444:0.9341:0.9400:0|515400.XSHG:4.0729:5.9640:0.6829:1.0860:0|588080.XSHG:3.8044:4.1794:0.9103:1.5770:0|518880.XSHG:3.5703:4.7286:0.7550:11.2790:0|501018.XSHG:3.3524:5.3686:0.6244:1.4110:0|159998.XSHE:3.2252:4.4213:0.7295:1.1320:0,"['516190', '510500', '515790', '516150', '159870', '515400', '588080', '518880', '501018', '159998']"
2026-01-29,False,113,50,159995,159995.XSHE,159995.XSHE:4.8765:5.4060:0.9021:2.0100:0|159218.XSHE:4.5471:9.5395:0.4767:2.0400:0|516150.XSHG:4.5079:5.3940:0.8357:2.2000:0|588220.XSHG:4.4441:5.1233:0.8674:1.5990:0|510500.XSHG:4.2070:4.4799:0.9391:8.6940:0|159667.XSHE:4.1118:4.4362:0.9269:1.7730:0|515790.XSHG:3.9762:4.5278:0.8782:1.1080:0|159870.XSHE:3.9424:4.2168:0.9349:0.9340:0|561980.XSHG:3.8991:5.4180:0.7197:2.3870:0|588080.XSHG:3.2205:3.6481:0.8828:1.5580:0,"['159995', '159218', '516150', '588220', '510500', '159667', '515790', '159870', '561980', '588080']"
2026-01-30,False,114,37,588790,588790.XSHG,588790.XSHG:4.1950:5.4510:0.7696:0.9220:0|512980.XSHG:3.8051:6.8278:0.5573:1.2190:0|159870.XSHE:3.1606:3.4819:0.9077:0.9100:0|510500.XSHG:3.0652:3.4638:0.8849:8.4490:0|588220.XSHG:3.0196:3.7706:0.8008:1.5730:0|516190.XSHG:2.8646:5.1385:0.5575:1.4600:0|515790.XSHG:2.8163:3.4843:0.8083:1.0700:0|159206.XSHE:2.4791:5.4837:0.4521:1.8980:0|588080.XSHG:2.2972:2.8354:0.8102:1.5430:0|159363.XSHE:2.1026:2.8977:0.7256:1.1580:0,"['588790', '512980', '159870', '510500', '588220', '516190', '515790', '159206', '588080', '159363']"
2026-02-02,True,17,1,159985,159985.XSHE,159985.XSHE:0.0257:0.1226:0.2099:1.9850:0,['159985']
2026-02-03,True,17,3,520830,520830.XSHG,520830.XSHG:0.5998:0.8980:0.6679:0.9470:0|513520.XSHG:0.2541:0.4642:0.5474:1.9000:0|159985.XSHE:0.0144:0.0968:0.1486:1.9780:0,"['520830', '513520', '159985']"
2026-02-04,True,16,1,513520,513520.XSHG,513520.XSHG:0.2837:0.4986:0.5689:1.9010:0,['513520']
2026-02-05,True,17,2,159518,159518.XSHE,159518.XSHE:1.0147:1.8152:0.5590:0.9860:0|159985.XSHE:0.0173:0.0939:0.1845:1.9790:0,"['159518', '159985']"
2026-02-06,True,17,2,159518,159518.XSHE,159518.XSHE:1.2056:2.0120:0.5992:0.9840:0|159985.XSHE:0.0252:0.1099:0.2290:1.9880:0,"['159518', '159985']"
2026-02-09,True,17,3,159518,159518.XSHE,159518.XSHE:1.4382:2.2603:0.6363:1.0000:0|513520.XSHG:0.2087:0.4521:0.4617:1.9630:0|159985.XSHE:0.0193:0.0990:0.1952:1.9870:0,"['159518', '513520', '159985']"
2026-02-10,False,113,14,513310,513310.XSHG,513310.XSHG:4.5723:6.3742:0.7173:3.4930:0|501018.XSHG:2.9670:6.6077:0.4490:1.3570:0|561360.XSHG:2.8105:3.4910:0.8051:1.4470:0|159518.XSHE:1.8709:2.6876:0.6961:1.0120:0|513350.XSHG:1.4949:2.4563:0.6086:1.0570:0|159326.XSHE:1.2611:2.1528:0.5858:1.8040:0|513970.XSHG:1.2463:1.5609:0.7984:1.0260:0|515790.XSHG:1.2028:1.8914:0.6359:1.1250:0|518880.XSHG:0.9178:2.0515:0.4474:10.6890:0|513630.XSHG:0.8292:1.0279:0.8068:1.7050:0,"['513310', '501018', '561360', '159518', '513350', '159326', '513970', '515790', '518880', '513630']"
