trade_date,ths_top10_raw,is_weak,candidates_json,local_target,ths_target,target_match,local_top1
2020-02-24,"159915.SZ:4.6376,159967.SZ:4.1727,512670.SH:2.7504,512660.SH:2.0487,518880.SH:0.9862",False,"[{""symbol"": ""159966"", ""rank"": 1, ""momentum_score"": 4.411958230990566, ""annualized_return"": 5.582883722016191, ""r_squared"": 0.7902651122021292, ""close"": 0.49159402369912414}, {""symbol"": ""159915"", ""rank"": 2, ""momentum_score"": 3.9734742991257845, ""annualized_return"": 5.328260885492478, ""r_squared"": 0.7457356883452463, ""close"": 2.178}]",159966,159915,False,159966
2020-02-25,"512670.SH:3.5904,512660.SH:2.6601,161226.SZ:0.5375",False,"[{""symbol"": ""159915"", ""rank"": 1, ""momentum_score"": 4.87663960052715, ""annualized_return"": 6.280404666805835, ""r_squared"": 0.7764849335747295, ""close"": 2.195}, {""symbol"": ""159939"", ""rank"": 2, ""momentum_score"": 4.72202721492756, ""annualized_return"": 8.034441820564105, ""r_squared"": 0.5877231200855249, ""close"": 0.7527976391231028}, {""symbol"": ""159967"", ""rank"": 3, ""momentum_score"": 4.396798039077141, ""annualized_return"": 5.856161700838627, ""r_squared"": 0.7507986055862326, ""close"": 0.4142104265402844}, {""symbol"": ""512220"", ""rank"": 4, ""momentum_score"": 4.3941205945326995, ""annualized_return"": 7.209503548037841, ""r_squared"": 0.6094900384269338, ""close"": 1.868}]",159915,512670,False,159915
2020-02-26,"512670.SH:4.7680,512660.SH:3.7984,512710.SH:1.4347,518880.SH:1.0943,161226.SZ:0.4000",False,"[{""symbol"": ""512660"", ""rank"": 1, ""momentum_score"": 2.7401831007979034, ""annualized_return"": 5.105815048810595, ""r_squared"": 0.5366788797875144, ""close"": 0.879}]",512660,512670,False,512660
2020-02-27,"512670.SH:4.9108,512660.SH:3.6101,512710.SH:1.6586,518880.SH:1.1863,510500.SH:0.9727,161226.SZ:0.4803",False,"[{""symbol"": ""512660"", ""rank"": 1, ""momentum_score"": 3.1614519504357244, ""annualized_return"": 5.385771332651927, ""r_squared"": 0.5870007757791382, ""close"": 0.871}]",512660,512670,False,512660
2020-02-28,"512170.SH:2.2323,518880.SH:1.0589",False,"[{""symbol"": ""518880"", ""rank"": 1, ""momentum_score"": 1.0640936773282057, ""annualized_return"": 1.315957864998199, ""r_squared"": 0.8086077112580364, ""close"": 3.623}]",518880,512170,False,518880
2020-03-02,,True,[],511880,511880,True,511880
2020-03-03,159985.SZ:0.0152,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.00194238462328329, ""annualized_return"": 0.08253360624160466, ""r_squared"": 0.023534469311776496, ""close"": 0.968}]",159985,159985,True,159985
2020-03-04,159985.SZ:0.0648,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.015202683747591459, ""annualized_return"": 0.15985419807125845, ""r_squared"": 0.0951034375763753, ""close"": 0.968}]",159985,159985,True,159985
2020-03-05,159985.SZ:0.1005,True,"[{""symbol"": ""159985"", ""rank"": 1, ""momentum_score"": 0.05972803933165542, ""annualized_return"": 0.25009454437200884, ""r_squared"": 0.23882184028297548, ""close"": 0.969}]",159985,159985,True,159985
2020-03-06,"515050.SH:3.4816,512170.SH:3.1786,512100.SH:3.0947,512670.SH:3.0040,512660.SH:2.3558,512200.SH:2.2248,159967.SZ:1.7873,512710.SH:1.6600,510500.SH:1.2325,159915.SZ:1.2021",False,"[{""symbol"": ""515050"", ""rank"": 1, ""momentum_score"": 4.772271640384091, ""annualized_return"": 7.618912142429835, ""r_squared"": 0.6263717905089414, ""close"": 0.42803243243243244}]",515050,515050,True,515050
