trade_date,jq_weak,local_weak,below_count,above_count,weak_days_count,match,000300_close,000300_ma10,000300_relation,399101_close,399101_ma10,399101_relation,399006_close,399006_ma10,399006_relation,000510_close,000510_ma10,000510_relation
2023-07-18,True,True,4,0,0,True,3854.939,3861.4148999999998,below,11803.563,11840.536100000001,below,2200.619,2205.5980999999997,below,4605.965,4616.912200000001,below
2023-07-19,True,True,4,0,0,True,3850.866,3859.621,below,11773.183,11830.327800000001,below,2177.247,2202.0813,below,4598.639,4613.6283,below
2023-07-20,True,True,4,0,0,True,3823.695,3857.715,below,11651.334,11811.745200000001,below,2155.647,2198.4273000000003,below,4560.557,4609.406300000001,below
2023-07-21,True,True,4,0,0,True,3821.91,3857.3361000000004,below,11615.459,11797.5278,below,2163.117,2197.8182,below,4555.168,4607.3985999999995,below
2023-07-24,True,True,4,0,0,True,3805.221,3853.4255,below,11571.456,11774.5522,below,2146.929,2192.6245999999996,below,4536.15,4601.0911,below
2023-07-25,True,False,0,4,0,False,3915.115,3857.9883999999997,above,11804.781,11765.105400000002,above,2192.897,2190.2364000000002,above,4654.941,4603.562599999999,above
2023-07-26,False,False,1,3,0,True,3907.013,3864.346,above,11737.179,11760.484,below,2191.169,2189.6681,above,4641.918,4608.5022,above
2023-07-27,False,False,2,2,0,True,3902.346,3864.7382999999995,above,11677.665,11735.935500000001,below,2184.096,2184.3262,below,4629.148,4605.76,above
2023-07-28,False,False,0,4,0,True,3992.738,3874.1017999999995,above,11818.286,11727.9748,above,2219.538,2183.8704000000002,above,4716.892,4611.9409,above
2023-07-31,False,False,0,4,0,True,4014.63,3888.8473,above,11950.713,11740.361900000002,above,2236.673,2186.7932,above,4748.798,4624.8176,above
2023-08-01,False,False,0,4,0,True,3998.001,3903.1535000000003,above,11918.401,11751.8457,above,2223.796,2189.1108999999997,above,4737.646,4637.9857,above
2023-08-02,False,False,0,4,0,True,3969.895,3915.056399999999,above,11884.082,11762.935599999999,above,2218.565,2193.2427,above,4707.977,4648.9195,above
2023-08-03,False,False,0,4,0,True,4004.984,3933.1852999999996,above,11914.754,11789.2776,above,2241.983,2201.8763,above,4736.3,4666.4938,above
2023-08-04,False,False,0,4,0,True,4020.579,3953.0521999999996,above,11965.776,11824.3093,above,2263.373,2211.9019,above,4756.875,4686.664500000001,above
2023-08-07,False,False,0,4,0,True,3990.153,3971.5454,above,11915.919,11858.7556,above,2240.775,2221.2865,above,4723.63,4705.412499999999,above
2023-08-08,False,False,1,3,0,True,3979.732,3978.0071,above,11872.175,11865.494999999999,above,2228.909,2224.8877,above,4708.653,4710.783699999999,below
2023-08-09,False,True,3,1,0,False,3967.565,3984.0623000000005,below,11772.338,11869.010900000001,below,2228.731,2228.6439,above,4687.988,4715.3907,below
2023-08-10,True,True,3,1,0,True,3975.717,3991.3994,below,11781.979,11879.4423,below,2239.306,2234.1649,above,4694.568,4721.932699999999,below
2023-08-11,True,True,4,0,0,True,3884.254,3980.5510000000004,below,11555.849,11853.1986,below,2187.036,2230.9147000000003,below,4592.598,4709.503299999999,below
2023-08-14,True,True,4,0,0,True,3855.906,3964.6786000000006,below,11545.819,11812.709200000001,below,2164.693,2223.7167,below,4568.654,4691.4889,below
2023-08-15,True,True,4,0,0,True,3846.536,3949.5321000000004,below,11473.767,11768.2458,below,2148.674,2216.2045,below,4545.506,4672.2749,below
2023-08-16,True,True,4,0,0,True,3818.334,3934.376,below,11346.748,11714.512399999998,below,2132.969,2207.6449000000002,below,4504.923,4651.969500000001,below
2023-08-17,True,True,4,0,0,True,3831.101,3916.9877000000006,below,11434.562,11666.4932,below,2147.061,2198.1527000000006,below,4525.901,4630.9296,below
2023-08-18,True,True,4,0,0,True,3784.004,3893.3302000000003,below,11229.378,11592.853399999998,below,2118.925,2183.7079000000003,below,4461.027,4601.344800000001,below
2023-08-21,True,True,4,0,0,True,3729.555,3867.2704,below,11110.617,11512.323199999999,below,2084.969,2168.1273,below,4403.243,4569.3061,below
2023-08-22,True,True,4,0,0,True,3758.227,3845.1198999999992,below,11173.771,11442.482800000002,below,2086.941,2153.9305,below,4435.35,4541.9758,below
2023-08-23,True,True,4,0,0,True,3696.634,3818.0267999999996,below,10943.428,11359.591800000002,below,2038.976,2134.955,below,4356.414,4508.818399999999,below
2023-08-24,True,True,4,0,0,True,3723.429,3792.798,below,11006.614,11282.0553,below,2064.573,2117.4817,below,4386.997,4478.0613,below
2023-08-25,True,True,4,0,0,True,3709.152,3775.2877999999996,below,10836.73,11210.143399999999,below,2040.399,2102.818,below,4355.353,4454.3368,below
2023-08-28,True,True,4,0,0,True,3752.619,3764.9591,below,10952.291,11150.7906,below,2060.044,2092.3531000000003,below,4404.903,4437.961700000001,below
2023-08-29,True,False,0,4,0,False,3790.107,3759.3161999999998,above,11224.616,11125.875499999998,above,2118.194,2089.3051000000005,above,4468.55,4430.2661,above
2023-08-30,False,False,0,4,0,True,3788.51,3756.3337999999994,above,11274.78,11118.6787,above,2117.125,2087.7207,above,4475.708,4427.3446,above
2023-08-31,False,False,0,4,0,True,3765.268,3749.7505000000006,above,11213.644,11096.5869,above,2102.575,2083.2721,above,4450.738,4419.828299999999,above
2023-09-01,False,False,0,4,0,True,3791.491,3750.4992000000007,above,11240.019,11097.651000000002,above,2100.258,2081.4053999999996,above,4475.648,4421.2904,above
