trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2022-01-21,501018,501018,1990100,3543.244105824968,1914476.2,1918019.444105825
2022-01-24,501018,501018,1990100,3543.244105824968,1946317.8,1949861.044105825
2022-01-25,501018,501018,1990100,3543.244105824968,1914476.2,1918019.444105825
2022-01-26,501018,501018,1990100,3543.244105824968,1934377.2,1937920.444105825
2022-01-27,501018,501018,1990100,3543.244105824968,1952288.0999999999,1955831.3441058248
2022-01-28,501018,501018,1990100,3543.244105824968,1972189.1,1975732.344105825
2022-02-07,501018,501018,1990100,3543.244105824968,2051793.0999999999,2055336.3441058248
2022-02-08,501018,501018,1990100,3543.244105824968,2047812.9,2051356.1441058249
2022-02-09,501018,501018,1990100,3543.244105824968,2008010.9,2011554.1441058249
2022-02-10,501018,501018,1990100,3543.244105824968,2015971.2999999998,2019514.5441058248
2022-02-11,501018,501018,1990100,3543.244105824968,2013981.2,2017524.444105825
2022-02-14,159985,159985,1457400,4043.652864185162,2084082.0,2088125.6528641852
2022-02-15,159985,159985,1457400,4043.652864185162,2062221.0,2066264.6528641852
2022-02-16,159985,159985,1457400,4043.652864185162,2069508.0,2073551.6528641852
2022-02-17,501018,501018,2069100,4080.0434374394827,2120827.5,2124907.5434374395
2022-02-18,501018,501018,2069100,4080.0434374394827,2100136.5,2104216.5434374395
2022-02-21,501018,501018,2069100,4080.0434374394827,2102205.6,2106285.6434374396
2022-02-22,501018,501018,2069100,4080.0434374394827,2176693.2,2180773.2434374397
2022-02-23,501018,501018,2069100,4080.0434374394827,2145656.6999999997,2149736.743437439
2022-02-24,515220,515220,2190100,4447.470714457799,2284845.302335375,2289292.773049833
2022-02-25,518880,518880,588800,4553.234959517606,2241561.6,2246114.8349595177
2022-02-28,501018,501018,2043000,4311.159361258149,2228913.0,2233224.159361258
2022-03-01,501018,501018,2043000,4311.159361258149,2216655.0,2220966.159361258
2022-03-02,512400,512400,1705500,4670.774250268936,2414988.0,2419658.774250269
2022-03-03,501018,501018,1926100,4682.1426517516375,2434590.4,2439272.5426517515
2022-03-04,159985,159985,1524000,4370.912617509719,2286000.0,2290370.9126175097
2022-03-07,518880,518880,611400,4637.992890381254,2400356.4,2404994.392890381
2022-03-08,159985,159985,1538400,4818.580603112932,2461440.0,2466258.580603113
2022-03-09,518880,518880,615700,4806.045758107677,2500357.7,2505163.745758108
2022-03-10,159985,159985,1536100,4632.154823993798,2431646.3,2436278.4548239936
2022-03-11,159985,159985,1536100,4632.154823993798,2473121.0,2477753.154823994
2022-03-14,159985,159985,1536100,4632.154823993798,2494626.4000000004,2499258.554823994
2022-03-15,159985,159985,1536100,4632.154823993798,2428574.1,2433206.254823994
2022-03-16,159985,159985,1536100,4632.154823993798,2473121.0,2477753.154823994
2022-03-17,159985,159985,1536100,4632.154823993798,2465440.5,2470072.654823994
2022-03-18,159985,159985,1536100,4632.154823993798,2520740.1,2525372.254823994
2022-03-21,159985,159985,1536100,4632.154823993798,2528420.5999999996,2533052.7548239934
2022-03-22,159985,159985,1536100,4632.154823993798,2606761.7,2611393.854823994
2022-03-23,159985,159985,1536100,4632.154823993798,2606761.7,2611393.854823994
2022-03-24,159985,159985,1536100,4632.154823993798,2591400.7,2596032.854823994
2022-03-25,159985,159985,1536100,4632.154823993798,2571431.4,2576063.5548239937
2022-03-28,159985,159985,1536100,4632.154823993798,2529956.7,2534588.854823994
2022-03-29,501018,501018,2072300,4836.647934960667,2509555.3000000003,2514391.947934961
2022-03-30,159980,159980,1461600,4816.635167992208,2531491.2,2536307.8351679924
