date,requested,fetched,total_cached
2021-11-01,114,70,114
2021-11-02,114,70,114
2021-11-03,114,70,114
2021-11-04,114,70,114
2021-11-05,114,70,114
2021-11-08,114,70,114
2021-11-09,114,70,114
2021-11-10,114,70,114
2021-11-11,114,70,114
2021-11-12,114,70,114
2021-11-15,114,70,114
2021-11-16,114,70,114
2021-11-17,114,70,114
2021-11-18,114,70,114
2021-11-19,114,70,114
2021-11-22,114,70,114
2021-11-23,114,70,114
2021-11-24,114,70,114
2021-11-25,114,70,114
2021-11-26,114,70,114
2021-11-29,114,70,114
2021-11-30,114,70,114
2021-12-01,114,70,114
2021-12-02,114,70,114
2021-12-03,114,70,114
2021-12-06,114,70,114
2021-12-07,114,71,114
2021-12-08,114,71,114
2021-12-09,114,71,114
2021-12-10,114,71,114
2021-12-13,114,71,114
2021-12-14,114,71,114
2021-12-15,114,71,114
2021-12-16,114,71,114
2021-12-17,114,71,114
2021-12-20,114,71,114
2021-12-21,114,71,114
2021-12-22,114,71,114
2021-12-23,114,71,114
2021-12-24,114,71,114
2021-12-27,114,71,114
2021-12-28,114,71,114
2021-12-29,114,71,114
2021-12-30,114,71,114
2021-12-31,114,71,114
2022-01-04,114,72,114
2022-01-05,114,72,114
2022-01-06,114,72,114
2022-01-07,114,72,114
2022-01-10,114,72,114
2022-01-11,114,72,114
2022-01-12,114,73,114
2022-01-13,114,73,114
2022-01-14,114,73,114
2022-01-17,114,73,114
2022-01-18,114,73,114
2022-01-19,114,73,114
2022-01-20,114,73,114
2022-01-21,114,73,114
2022-01-24,114,73,114
2022-01-25,114,73,114
2022-01-26,114,73,114
2022-01-27,114,73,114
2022-01-28,114,73,114
2022-02-07,114,73,114
2022-02-08,114,73,114
2022-02-09,114,73,114
2022-02-10,114,73,114
2022-02-11,114,73,114
2022-02-14,114,73,114
2022-02-15,114,73,114
2022-02-16,114,73,114
2022-02-17,114,73,114
2022-02-18,114,73,114
2022-02-21,114,73,114
2022-02-22,114,73,114
2022-02-23,114,73,114
2022-02-24,114,73,114
2022-02-25,114,73,114
2022-02-28,114,73,114
2022-03-01,114,73,114
2022-03-02,114,73,114
2022-03-03,114,73,114
2022-03-04,114,73,114
2022-03-07,114,73,114
2022-03-08,114,73,114
2022-03-09,114,73,114
2022-03-10,114,73,114
2022-03-11,114,73,114
2022-03-14,114,73,114
2022-03-15,114,73,114
2022-03-16,114,73,114
2022-03-17,114,73,114
2022-03-18,114,73,114
2022-03-21,114,73,114
2022-03-22,114,73,114
2022-03-23,114,73,114
2022-03-24,114,73,114
2022-03-25,114,73,114
2022-03-28,114,73,114
2022-03-29,114,73,114
2022-03-30,114,73,114
2022-03-31,114,73,114
2022-04-01,114,73,114
2022-04-06,114,73,114
2022-04-07,114,73,114
2022-04-08,114,73,114
2022-04-11,114,73,114
2022-04-12,114,73,114
2022-04-13,114,73,114
2022-04-14,114,73,114
2022-04-15,114,73,114
2022-04-18,114,73,114
2022-04-19,114,73,114
2022-04-20,114,73,114
2022-04-21,114,73,114
2022-04-22,114,73,114
2022-04-25,114,73,114
2022-04-26,114,73,114
2022-04-27,114,73,114
2022-04-28,114,73,114
2022-04-29,114,73,114
2022-05-05,114,73,114
2022-05-06,114,73,114
2022-05-09,114,73,114
2022-05-10,114,73,114
2022-05-11,114,73,114
2022-05-12,114,73,114
2022-05-13,114,73,114
2022-05-16,114,73,114
2022-05-17,114,73,114
2022-05-18,114,73,114
2022-05-19,114,73,114
2022-05-20,114,73,114
2022-05-23,114,73,114
2022-05-24,114,73,114
2022-05-25,114,73,114
2022-05-26,114,73,114
2022-05-27,114,73,114
2022-05-30,114,73,114
2022-05-31,114,73,114
2022-06-01,114,73,114
2022-06-02,114,73,114
2022-06-06,114,73,114
2022-06-07,114,73,114
2022-06-08,114,73,114
2022-06-09,114,73,114
2022-06-10,114,73,114
2022-06-13,114,73,114
2022-06-14,114,73,114
2022-06-15,114,73,114
2022-06-16,114,73,114
2022-06-17,114,73,114
2022-06-20,114,73,114
2022-06-21,114,73,114
2022-06-22,114,73,114
2022-06-23,114,73,114
2022-06-24,114,73,114
2022-06-27,114,73,114
2022-06-28,114,73,114
2022-06-29,114,73,114
2022-06-30,114,73,114
2022-07-01,114,73,114
2022-07-04,114,73,114
2022-07-05,114,73,114
2022-07-06,114,73,114
2022-07-07,114,73,114
2022-07-08,114,73,114
2022-07-11,114,73,114
2022-07-12,114,73,114
2022-07-13,114,73,114
2022-07-14,114,73,114
2022-07-15,114,74,114
2022-07-18,114,74,114
2022-07-19,114,74,114
2022-07-20,114,74,114
2022-07-21,114,74,114
2022-07-22,114,74,114
2022-07-25,114,74,114
2022-07-26,114,74,114
2022-07-27,114,74,114
2022-07-28,114,74,114
2022-07-29,114,74,114
2022-08-01,114,74,114
2022-08-02,114,74,114
2022-08-03,114,74,114
2022-08-04,114,74,114
2022-08-05,114,74,114
2022-08-08,114,74,114
2022-08-09,114,74,114
2022-08-10,114,74,114
2022-08-11,114,74,114
2022-08-12,114,74,114
2022-08-15,114,74,114
2022-08-16,114,74,114
2022-08-17,114,75,114
2022-08-18,114,75,114
2022-08-19,114,75,114
2022-08-22,114,75,114
2022-08-23,114,75,114
2022-08-24,114,75,114
2022-08-25,114,75,114
2022-08-26,114,75,114
2022-08-29,114,75,114
2022-08-30,114,75,114
2022-08-31,114,75,114
2022-09-01,114,76,114
2022-09-02,114,76,114
2022-09-05,114,76,114
2022-09-06,114,76,114
2022-09-07,114,76,114
2022-09-08,114,76,114
2022-09-09,114,76,114
2022-09-13,114,76,114
2022-09-14,114,76,114
2022-09-15,114,76,114
2022-09-16,114,76,114
2022-09-19,114,76,114
2022-09-20,114,76,114
2022-09-21,114,76,114
2022-09-22,114,76,114
2022-09-23,114,76,114
2022-09-26,114,76,114
2022-09-27,114,76,114
2022-09-28,114,76,114
2022-09-29,114,76,114
2022-09-30,114,76,114
2022-10-10,114,76,114
2022-10-11,114,76,114
2022-10-12,114,76,114
2022-10-13,114,76,114
2022-10-14,114,76,114
2022-10-17,114,76,114
2022-10-18,114,76,114
2022-10-19,114,76,114
2022-10-20,114,76,114
2022-10-21,114,76,114
2022-10-24,114,76,114
2022-10-25,114,76,114
2022-10-26,114,76,114
2022-10-27,114,76,114
2022-10-28,114,76,114
2022-10-31,114,78,114
2022-11-01,114,78,114
2022-11-02,114,78,114
2022-11-03,114,78,114
2022-11-04,114,79,114
2022-11-07,114,79,114
2022-11-08,114,79,114
2022-11-09,114,79,114
2022-11-10,114,79,114
2022-11-11,114,79,114
2022-11-14,114,79,114
2022-11-15,114,79,114
2022-11-16,114,79,114
2022-11-17,114,79,114
2022-11-18,114,79,114
2022-11-21,114,79,114
2022-11-22,114,79,114
2022-11-23,114,79,114
2022-11-24,114,79,114
2022-11-25,114,79,114
2022-11-28,114,79,114
2022-11-29,114,79,114
2022-11-30,114,79,114
2022-12-01,114,79,114
2022-12-02,114,79,114
2022-12-05,114,79,114
2022-12-06,114,79,114
2022-12-07,114,79,114
2022-12-08,114,79,114
2022-12-09,114,79,114
2022-12-12,114,79,114
2022-12-13,114,79,114
2022-12-14,114,79,114
2022-12-15,114,79,114
2022-12-16,114,79,114
2022-12-19,114,79,114
2022-12-20,114,79,114
2022-12-21,114,79,114
2022-12-22,114,79,114
2022-12-23,114,79,114
2022-12-26,114,79,114
2022-12-27,114,80,114
2022-12-28,114,80,114
2022-12-29,114,80,114
2022-12-30,114,80,114
2023-01-03,114,80,114
2023-01-04,114,80,114
2023-01-05,114,80,114
2023-01-06,114,80,114
2023-01-09,114,80,114
2023-01-10,114,80,114
2023-01-11,114,80,114
2023-01-12,114,80,114
2023-01-13,114,80,114
2023-01-16,114,80,114
2023-01-17,114,80,114
2023-01-18,114,80,114
2023-01-19,114,80,114
2023-01-20,114,80,114
2023-01-30,114,80,114
2023-01-31,114,80,114
2023-02-01,114,80,114
2023-02-02,114,80,114
2023-02-03,114,80,114
2023-02-06,114,80,114
2023-02-07,114,80,114
2023-02-08,114,80,114
2023-02-09,114,80,114
2023-02-10,114,80,114
2023-02-13,114,80,114
2023-02-14,114,80,114
2023-02-15,114,80,114
2023-02-16,114,80,114
2023-02-17,114,80,114
2023-02-20,114,80,114
2023-02-21,114,80,114
2023-02-22,114,80,114
2023-02-23,114,80,114
2023-02-24,114,80,114
2023-02-27,114,80,114
2023-02-28,114,80,114
2023-03-01,114,80,114
2023-03-02,114,80,114
2023-03-03,114,80,114
2023-03-06,114,80,114
2023-03-07,114,80,114
2023-03-08,114,80,114
2023-03-09,114,80,114
2023-03-10,114,80,114
2023-03-13,114,80,114
2023-03-14,114,80,114
2023-03-15,114,80,114
2023-03-16,114,81,114
2023-03-17,114,81,114
2023-03-20,114,81,114
2023-03-21,114,81,114
2023-03-22,114,81,114
2023-03-23,114,81,114
2023-03-24,114,81,114
2023-03-27,114,81,114
2023-03-28,114,81,114
2023-03-29,114,81,114
2023-03-30,114,81,114
2023-03-31,114,81,114
2023-04-03,114,81,114
2023-04-04,114,81,114
2023-04-06,114,81,114
2023-04-07,114,81,114
2023-04-10,114,81,114
2023-04-11,114,81,114
2023-04-12,114,81,114
2023-04-13,114,81,114
2023-04-14,114,81,114
2023-04-17,114,81,114
2023-04-18,114,81,114
2023-04-19,114,81,114
2023-04-20,114,81,114
2023-04-21,114,81,114
2023-04-24,114,81,114
2023-04-25,114,81,114
2023-04-26,114,82,114
2023-04-27,114,82,114
2023-04-28,114,82,114
2023-05-04,114,82,114
2023-05-05,114,82,114
2023-05-08,114,82,114
2023-05-09,114,82,114
2023-05-10,114,82,114
2023-05-11,114,82,114
2023-05-12,114,82,114
2023-05-15,114,82,114
2023-05-16,114,82,114
2023-05-17,114,82,114
2023-05-18,114,82,114
2023-05-19,114,82,114
2023-05-22,114,82,114
2023-05-23,114,82,114
2023-05-24,114,82,114
2023-05-25,114,82,114
2023-05-26,114,82,114
2023-05-29,114,82,114
2023-05-30,114,82,114
