date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-05-28,13:10:00,161226,"['161226', '513520', '513030', '513500', '513100', '159980', '159985']",13:10:00,161226,"['161226', '513520', '513030', '513500', '513100', '159980', '159985']",True,True,7
2020-05-29,13:10:00,161226,"['161226', '513520', '513030', '513500', '159980', '513100', '159985']",13:10:00,161226,"['161226', '513520', '513030', '513500', '159980', '513100', '159985']",True,True,7
2020-06-01,13:10:00,161226,"['161226', '513520', '513030', '513500', '518880', '159980', '513100', '159985']",13:10:00,161226,"['161226', '513520', '513030', '513500', '518880', '159980', '513100', '159985']",True,True,8
2020-06-02,13:10:00,512690,"['512690', '513030', '513520', '513500', '159981', '512170', '515030', '518880', '159980', '159967']",13:10:00,512690,"['512690', '513030', '513520', '513500', '159981', '512170', '515030', '518880', '159980', '159967']",True,True,10
2020-06-03,13:10:00,513030,"['513030', '513520', '512690', '513500', '159981', '512170', '515030', '518880', '159980', '159967']",13:10:00,513030,"['513030', '513520', '512690', '513500', '159981', '512170', '515030', '518880', '159980', '159967']",True,True,10
2020-06-04,13:10:00,161226,"['161226', '513030', '512690', '513520', '513500', '515030', '159981', '512170', '159980', '518880']",13:10:00,161226,"['161226', '513030', '512690', '513520', '513500', '515030', '159981', '512170', '159980', '518880']",True,True,10
2020-06-05,13:10:00,161226,"['161226', '513520', '512690', '513500', '515030', '512170', '159981', '159980', '159985', '159992']",13:10:00,161226,"['161226', '513520', '512690', '513500', '515030', '512170', '159981', '159980', '159985', '159992']",True,True,10
2020-06-08,13:10:00,513520,"['513520', '161226', '512690', '513500', '515030', '159981', '512170', '159980', '159985', '159928']",13:10:00,513520,"['513520', '161226', '512690', '513500', '515030', '159981', '512170', '159980', '159985', '159928']",True,True,10
2020-06-09,13:10:00,513520,"['513520', '512690', '161226', '513500', '515030', '159980', '159981', '512170', '159985', '159928']",13:10:00,513520,"['513520', '512690', '161226', '513500', '515030', '159980', '159981', '512170', '159985', '159928']",True,True,10
2020-06-10,13:10:00,513520,"['513520', '512690', '513500', '161226', '515030', '159980', '159981', '512170', '159928', '159985']",13:10:00,513520,"['513520', '512690', '513500', '161226', '515030', '159980', '159981', '512170', '159928', '159985']",True,True,10
2020-06-11,13:10:00,513520,"['513520', '512690', '513500', '515030', '161226', '159980', '513090', '512170', '159981', '159992']",13:10:00,513520,"['513520', '512690', '513500', '515030', '161226', '159980', '513090', '512170', '159981', '159992']",True,True,10
2020-06-12,13:10:00,513520,"['513520', '512690', '515030', '513500', '161226', '159980', '513090', '512170', '159992', '512010']",13:10:00,513520,"['513520', '512690', '515030', '513500', '161226', '159980', '513090', '512170', '159992', '512010']",True,True,10
2020-06-15,13:10:00,512690,"['512690', '513520', '515030', '159980', '512170', '159949', '159992', '513090', '512010', '159967']",13:10:00,512690,"['512690', '513520', '515030', '159980', '512170', '159949', '159992', '513090', '512010', '159967']",True,True,10
2020-06-16,13:10:00,513030,"['513030', '515030', '512690', '513520', '512170', '159949', '159980', '159992', '512980', '512010']",13:10:00,513030,"['513030', '515030', '512690', '513520', '512170', '159949', '159980', '159992', '512980', '512010']",True,True,10
2020-06-17,13:10:00,513030,"['513030', '515030', '512690', '513520', '512170', '159949', '159992', '512980', '512010', '159980']",13:10:00,513030,"['513030', '515030', '512690', '513520', '512170', '159949', '159992', '512980', '512010', '159980']",True,True,10
2020-06-18,13:10:00,513030,"['513030', '515030', '159949', '512980', '159992', '512010', '513520', '512690', '159915', '159967']",13:10:00,513030,"['513030', '515030', '159949', '512980', '159992', '512010', '513520', '512690', '159915', '159967']",True,True,10
