date,time,target,top10,top10_raw
2021-09-14,13:10:00,512400,"['512400', '512880', '159869', '513090', '513520', '510500', '159981', '159870', '512980', '511380']","512400.SH:4.0211,512880.SH:3.3063,159869.SZ:3.2925,513090.SH:2.1093,513520.SH:1.7795,510500.SH:1.7149,159981.SZ:1.4200,159870.SZ:1.4120,512980.SH:1.2739,511380.SH:1.0022"
2021-09-15,13:10:00,159869,"['159869', '513090', '159870', '510500', '159981', '512980', '510760', '511380', '512200', '512100']","159869.SZ:3.9888,513090.SH:1.8085,159870.SZ:1.7350,510500.SH:1.7090,159981.SZ:1.6959,512980.SH:1.3612,510760.SH:0.9691,511380.SH:0.8942,512200.SH:0.6585,512100.SH:0.6224"
2021-09-16,13:10:00,159869,"['159869', '513520', '159981', '159870', '510500', '512980', '513090', '510760', '159766', '511380']","159869.SZ:4.3988,513520.SH:2.3189,159981.SZ:2.1674,159870.SZ:2.1147,510500.SH:1.6516,512980.SH:1.3918,513090.SH:1.2924,510760.SH:0.9129,159766.SZ:0.7388,511380.SH:0.7117"
2021-09-17,13:10:00,513520,"['513520', '501018', '159980']","513520.SH:2.4617,501018.SH:0.9215,159980.SZ:0.4289"
2021-09-22,13:10:00,501018,"['501018', '159980']","501018.SH:1.0994,159980.SZ:0.4506"
2021-09-23,13:10:00,501018,"['501018', '159980']","501018.SH:1.2935,159980.SZ:0.4787"
2021-09-24,13:10:00,501018,"['501018', '159980']","501018.SH:1.4685,159980.SZ:0.5505"
2021-09-27,13:10:00,501018,"['501018', '159980']","501018.SH:1.7753,159980.SZ:0.5549"
2021-09-28,13:10:00,501018,['501018'],501018.SH:1.9349
2021-09-29,13:10:00,501018,['501018'],501018.SH:1.8862
2021-09-30,13:10:00,501018,['501018'],501018.SH:1.8434
2021-10-08,13:10:00,501018,"['501018', '159980']","501018.SH:2.0566,159980.SZ:0.0436"
2021-10-11,13:10:00,501018,"['501018', '159980']","501018.SH:2.5869,159980.SZ:0.0496"
2021-10-12,13:10:00,501018,"['501018', '159980']","501018.SH:3.1530,159980.SZ:0.0565"
2021-10-13,13:10:00,501018,"['501018', '159980']","501018.SH:3.6748,159980.SZ:0.0653"
2021-10-14,13:10:00,501018,"['501018', '159980']","501018.SH:4.1149,159980.SZ:0.1695"
2021-10-15,13:10:00,501018,"['501018', '159980']","501018.SH:4.7213,159980.SZ:0.2862"
2021-10-18,13:10:00,159865,"['159865', '159980']","159865.SZ:1.4847,159980.SZ:0.4948"
2021-10-19,13:10:00,159865,"['159865', '159825']","159865.SZ:1.9214,159825.SZ:0.2207"
2021-10-20,13:10:00,159865,"['159865', '159825']","159865.SZ:2.1023,159825.SZ:0.2719"
2021-10-21,13:10:00,159928,"['159928', '159865', '515170', '512690', '159825']","159928.SZ:2.2404,159865.SZ:1.9858,515170.SH:1.4698,512690.SH:1.0109,159825.SZ:0.2623"
2021-10-22,13:10:00,501018,"['501018', '159928', '159865', '515170', '512690', '159825', '159852']","501018.SH:4.7575,159928.SZ:2.4533,159865.SZ:1.8331,515170.SH:1.6529,512690.SH:1.1441,159825.SZ:0.3313,159852.SZ:0.1589"
2021-10-25,13:10:00,501018,"['501018', '159928', '159865', '515170', '512690', '159980', '159825', '516520', '159915']","501018.SH:4.3471,159928.SZ:2.1638,159865.SZ:1.6549,515170.SH:1.3912,512690.SH:0.8432,159980.SZ:0.5773,159825.SZ:0.3689,516520.SH:0.3570,159915.SZ:0.1986"
2021-10-26,13:10:00,501018,"['501018', '159928', '515170', '159865', '512690', '516520', '159980', '159825', '159949', '159915']","501018.SH:3.8515,159928.SZ:2.0045,515170.SH:1.3262,159865.SZ:1.3132,512690.SH:0.7865,516520.SH:0.7351,159980.SZ:0.4631,159825.SZ:0.4036,159949.SZ:0.3459,159915.SZ:0.3296"
2021-10-27,13:10:00,501018,"['501018', '159928', '516520', '515170', '159865', '515790', '159967', '512690', '513330', '159949']","501018.SH:3.1167,159928.SZ:1.5102,516520.SH:1.0805,515170.SH:0.9470,159865.SZ:0.9148,515790.SH:0.7309,159967.SZ:0.6588,512690.SH:0.4905,513330.SH:0.4595,159949.SZ:0.4043"
2021-10-28,13:10:00,501018,"['501018', '516520', '159928', '515790', '159967', '515170', '159865', '513330', '159949', '159915']","501018.SH:2.0750,516520.SH:1.4504,159928.SZ:1.2577,515790.SH:1.1303,159967.SZ:0.8481,515170.SH:0.7747,159865.SZ:0.7080,513330.SH:0.5884,159949.SZ:0.4905,159915.SZ:0.4025"
2021-10-29,13:10:00,513500,"['513500', '513100', '518880']","513500.SH:0.1150,513100.SH:0.0109,518880.SH:0.0006"
2021-11-01,13:10:00,513500,"['513500', '513100']","513500.SH:0.1862,513100.SH:0.0604"
2021-11-02,13:10:00,501018,"['501018', '513500', '513100', '518880']","501018.SH:0.9189,513500.SH:0.2695,513100.SH:0.1675,518880.SH:0.0136"
2021-11-03,13:10:00,513500,"['513500', '513100']","513500.SH:0.4056,513100.SH:0.3767"
2021-11-04,13:10:00,513100,"['513100', '513500', '513030']","513100.SH:0.5733,513500.SH:0.4871,513030.SH:0.0066"
2021-11-05,13:10:00,513100,"['513100', '513500', '513030', '518880']","513100.SH:0.8840,513500.SH:0.6057,513030.SH:0.0500,518880.SH:0.0159"
2021-11-08,13:10:00,513100,"['513100', '513500', '513030', '518880', '501018', '161226', '513520']","513100.SH:1.2200,513500.SH:0.7443,513030.SH:0.1463,518880.SH:0.0413,501018.SH:0.0249,161226.SZ:0.0028,513520.SH:0.0000"
2021-11-09,13:10:00,513100,"['513100', '513500', '513030', '518880']","513100.SH:1.6030,513500.SH:0.9003,513030.SH:0.2627,518880.SH:0.0705"
2021-11-10,13:10:00,513100,"['513100', '513500', '513030', '518880', '161226', '501018']","513100.SH:1.7272,513500.SH:0.9497,513030.SH:0.3791,518880.SH:0.0950,161226.SZ:0.0066,501018.SH:0.0021"
2021-11-11,13:10:00,513500,"['513500', '518880', '161226']","513500.SH:0.8784,518880.SH:0.1341,161226.SZ:0.0153"
2021-11-12,13:10:00,512670,"['512670', '512660', '159869', '512710', '516520', '159995', '159732', '512480', '515050', '513100']","512670.SH:4.8432,512660.SH:4.1386,159869.SZ:3.7851,512710.SH:2.8050,516520.SH:2.6914,159995.SZ:2.4717,159732.SZ:1.8760,512480.SH:1.7433,515050.SH:1.6528,513100.SH:1.5156"
2021-11-15,13:10:00,512660,"['512660', '512710', '159995', '159732', '515050', '512480', '513100', '515880', '512980', '515980']","512660.SH:4.4837,512710.SH:2.9817,159995.SZ:2.5054,159732.SZ:2.1762,515050.SH:2.1149,512480.SH:2.0054,513100.SH:1.4399,515880.SH:1.4168,512980.SH:1.3248,515980.SH:1.2342"
2021-11-16,13:10:00,512660,"['512660', '512710', '516520', '515050', '159732', '512980', '159995', '515880', '512480', '515980']","512660.SH:4.4493,512710.SH:2.9242,516520.SH:2.8651,515050.SH:2.5706,159732.SZ:2.4050,512980.SH:2.2293,159995.SZ:2.1885,515880.SH:2.0007,512480.SH:1.9774,515980.SH:1.3062"
2021-11-17,13:10:00,512980,"['512980', '516520', '515050', '515880', '159732', '159995', '512480', '516190', '515980', '513100']","512980.SH:2.9504,516520.SH:2.6032,515050.SH:2.5082,515880.SH:2.4815,159732.SZ:2.2085,159995.SZ:1.5461,512480.SH:1.4980,516190.SH:1.2395,515980.SH:1.1993,513100.SH:1.1370"
2021-11-18,13:10:00,515880,"['515880', '516520', '515050', '159732', '512480', '159995', '159865', '159819', '515980', '513100']","515880.SH:2.7817,516520.SH:2.3890,515050.SH:2.3500,159732.SZ:1.9683,512480.SH:1.2854,159995.SZ:1.1752,159865.SZ:1.1099,159819.SZ:1.1066,515980.SH:1.0965,513100.SH:0.9989"
2021-11-19,13:10:00,512670,"['512670', '512980', '512660', '515880', '516520', '515050', '512710', '159732', '159819', '513100']","512670.SH:3.9789,512980.SH:3.7270,512660.SH:3.4116,515880.SH:2.9332,516520.SH:2.2757,515050.SH:2.2081,512710.SH:1.9288,159732.SZ:1.8133,159819.SZ:1.1052,513100.SH:1.0081"
2021-11-22,13:10:00,512670,"['512670', '512980', '512660', '515880', '516520', '515050', '159732', '512710', '159819', '512480']","512670.SH:4.0742,512980.SH:3.8219,512660.SH:3.4239,515880.SH:3.3678,516520.SH:2.7072,515050.SH:2.4527,159732.SZ:2.0490,512710.SH:1.9529,159819.SZ:1.2798,512480.SH:1.1550"
2021-11-23,13:10:00,159869,"['159869', '512670', '515880', '512980', '512660', '516520', '515050', '516190', '512710', '159819']","159869.SZ:4.8015,512670.SH:4.1146,515880.SH:3.6431,512980.SH:3.5226,512660.SH:3.4199,516520.SH:2.9530,515050.SH:2.5664,516190.SH:1.8496,512710.SH:1.8391,159819.SZ:1.3507"
2021-11-24,13:10:00,159869,"['159869', '515880', '512980', '512670', '516520', '512660', '515050', '159732', '512710', '512480']","159869.SZ:4.0800,515880.SH:3.8785,512980.SH:3.6013,512670.SH:3.4417,516520.SH:3.0092,512660.SH:2.9201,515050.SH:2.6040,159732.SZ:2.1771,512710.SH:1.4267,512480.SH:1.4029"
2021-11-25,13:10:00,515880,"['515880', '512980', '159869', '516520', '512670', '515050', '512660', '159732', '516190', '512480']","515880.SH:3.7834,512980.SH:3.1711,159869.SZ:3.0407,516520.SH:2.9195,512670.SH:2.7304,515050.SH:2.3977,512660.SH:2.2936,159732.SZ:2.1322,516190.SH:1.5984,512480.SH:1.4038"
2021-11-26,13:10:00,515880,"['515880', '516520', '512980', '512670', '515050', '512660', '159869', '159732', '512100', '159819']","515880.SH:3.0463,516520.SH:2.5086,512980.SH:2.3032,512670.SH:2.0733,515050.SH:1.9003,512660.SH:1.7778,159869.SZ:1.7242,159732.SZ:1.6654,512100.SH:1.1742,159819.SZ:1.1295"
2021-11-29,13:10:00,515880,"['515880', '516520', '512670', '512660', '515050', '159732', '512980', '512100', '512480', '588080']","515880.SH:2.3835,516520.SH:2.2991,512670.SH:1.8896,512660.SH:1.5464,515050.SH:1.3944,159732.SZ:1.3795,512980.SH:1.3623,512100.SH:1.3222,512480.SH:0.9706,588080.SH:0.9560"
2021-11-30,13:10:00,516520,"['516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851', '512480']","516520.SH:2.2729,515880.SH:2.1200,512670.SH:2.0207,562800.SH:1.7258,512660.SH:1.6034,512100.SH:1.5905,159732.SZ:1.2273,515050.SH:1.1561,159851.SZ:1.1263,512480.SH:0.9862"
2021-12-01,13:10:00,562800,"['562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050', '512480']","562800.SH:2.6308,516520.SH:1.9672,515880.SH:1.8475,512670.SH:1.7536,512100.SH:1.7064,159851.SZ:1.4902,512660.SH:1.3304,159732.SZ:0.9851,515050.SH:0.8968,512480.SH:0.8588"
2021-12-02,13:10:00,562800,"['562800', '516520', '512100', '159851', '515880', '512670', '512660', '512400', '159732', '512480']","562800.SH:3.6425,516520.SH:1.7851,512100.SH:1.7026,159851.SZ:1.5985,515880.SH:1.4624,512670.SH:1.4427,512660.SH:1.0687,512400.SH:0.9362,159732.SZ:0.8230,512480.SH:0.7992"
2021-12-03,13:10:00,159985,['159985'],159985.SZ:0.1681
2021-12-06,13:10:00,159985,['159985'],159985.SZ:0.2875
2021-12-07,13:10:00,159985,['159985'],159985.SZ:0.2766
2021-12-08,13:10:00,159980,['159980'],159980.SZ:0.0000
2021-12-09,13:10:00,159985,"['159985', '159980']","159985.SZ:0.2376,159980.SZ:0.0020"
2021-12-10,13:10:00,512690,"['512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520', '512890']","512690.SH:2.1219,562800.SH:1.8819,515210.SH:1.7942,159851.SZ:1.2505,515220.SH:1.1883,515170.SH:0.8732,159732.SZ:0.7776,512400.SH:0.7169,516520.SH:0.6300,512890.SH:0.6269"
2021-12-13,13:10:00,512690,"['512690', '515210', '562800', '515220', '159851', '515170', '159732', '516520', '512400', '510760']","512690.SH:2.8179,515210.SH:1.5116,562800.SH:1.4680,515220.SH:1.4342,159851.SZ:1.3417,515170.SH:1.2988,159732.SZ:0.9328,516520.SH:0.6233,512400.SH:0.6091,510760.SH:0.5543"
2021-12-14,13:10:00,512690,"['512690', '515170', '515220', '159851', '515210', '562800', '159732', '159928', '512880', '510760']","512690.SH:3.4225,515170.SH:1.6846,515220.SH:1.5393,159851.SZ:1.3632,515210.SH:1.1818,562800.SH:1.1685,159732.SZ:1.0149,159928.SZ:0.5934,512880.SH:0.5815,510760.SH:0.5593"
2021-12-15,13:10:00,512690,"['512690', '515170', '515220', '159851', '159732', '515210', '562800', '159928', '512880', '510760']","512690.SH:3.5189,515170.SH:1.8035,515220.SH:1.6531,159851.SZ:1.5545,159732.SZ:0.9923,515210.SH:0.9024,562800.SH:0.6824,159928.SZ:0.6619,512880.SH:0.6442,510760.SH:0.5470"
2021-12-16,13:10:00,512690,"['512690', '515220', '515170', '159851', '159732', '515210', '512880', '159928', '510760', '512890']","512690.SH:3.1136,515220.SH:1.9709,515170.SH:1.6236,159851.SZ:1.6058,159732.SZ:0.9311,515210.SH:0.7998,512880.SH:0.7165,159928.SZ:0.5267,510760.SH:0.5194,512890.SH:0.4921"
2021-12-17,13:10:00,512690,"['512690', '515220', '159851', '515170', '512880', '515210', '159732', '512070', '512890', '513090']","512690.SH:2.5552,515220.SH:2.4692,159851.SZ:1.7254,515170.SH:1.3331,512880.SH:0.9363,515210.SH:0.8703,159732.SZ:0.7711,512070.SH:0.6279,512890.SH:0.5711,513090.SH:0.5265"
2021-12-20,13:10:00,159985,"['159985', '159980']","159985.SZ:0.3098,159980.SZ:0.0000"
2021-12-21,13:10:00,159985,"['159985', '159980']","159985.SZ:0.3271,159980.SZ:0.0000"
2021-12-22,13:10:00,159985,"['159985', '159980']","159985.SZ:0.3587,159980.SZ:0.0001"
2021-12-23,13:10:00,159985,"['159985', '159980']","159985.SZ:0.4580,159980.SZ:0.0013"
2021-12-24,13:10:00,159985,"['159985', '159980']","159985.SZ:0.6302,159980.SZ:0.0015"
