date,value,positions,positions_raw
2022-11-16,3825191.94,['513030'],513030.XSHG:3632700:3817967.70
2022-11-17,3942186.4,['515400'],515400.XSHG:4962000:3934866.00
2022-11-18,3867766.6,['515400'],515400.XSHG:4961200:3859813.60
2022-11-21,3816028.9,['513180'],513180.XSHG:7663600:3808809.20
2022-11-22,3720405.26,['513030'],513030.XSHG:3526400:3713299.20
2022-11-23,3773295.06,['513030'],513030.XSHG:3526000:3765768.00
2022-11-24,3805023.96,['513030'],513030.XSHG:3525900:3797394.30
2022-11-25,3836752.06,['513030'],513030.XSHG:3525800:3829018.80
2022-11-28,3812066.56,['513030'],513030.XSHG:3525900:3804446.10
2022-11-29,3776807.56,['513030'],513030.XSHG:3525900:3769187.10
2022-11-30,3765342.58,['513520'],513520.XSHG:3457400:3758193.80
2022-12-01,3767896.61,['513090'],513090.XSHG:3475600:3760599.20
2022-12-02,3708806.01,['513090'],513090.XSHG:3475400:3701301.00
2022-12-05,3868667.21,['513090'],513090.XSHG:3475200:3860947.20
2022-12-06,3854766.41,['513090'],513090.XSHG:3475200:3847046.40
2022-12-07,3852795.16,['512200'],512200.XSHG:5033300:3845441.20
2022-12-08,3918223.76,['512200'],512200.XSHG:5032600:3910330.20
2022-12-09,4008804.76,['512200'],512200.XSHG:5032500:4000837.50
2022-12-12,3855459.89,['513330'],513330.XSHG:8347200:3848059.20
2022-12-13,3897189.99,['513330'],513330.XSHG:8346300:3889375.80
2022-12-14,3944984.22,['161226'],161226.XSHE:5313800:3937525.80
2022-12-15,3865270.62,['161226'],161226.XSHE:5313400:3857528.40
2022-12-16,3769106.88,['159985'],159985.XSHE:1963400:3761874.40
2022-12-19,3705684.05,['511880'],511880.XSHG:36300:3693379.80
2022-12-20,3705792.95,['511880'],511880.XSHG:36300:3693488.70
2022-12-21,3714748.49,['161226'],161226.XSHE:5065100:3707653.20
2022-12-22,3679291.29,['161226'],161226.XSHE:5064600:3671835.00
2022-12-23,3660799.82,['159985'],159985.XSHE:1890200:3653756.60
2022-12-26,3758339.9,['161226'],161226.XSHE:5166900:3751169.40
2022-12-27,3773613.68,['159985'],159985.XSHE:1897400:3766339.00
2022-12-28,3738527.56,['512690'],512690.XSHG:4364200:3731391.00
2022-12-29,3713441.02,['159985'],159985.XSHE:1866200:3706273.20
2022-12-30,3758222.62,['159985'],159985.XSHE:1866000:3750660.00
2023-01-03,3767552.62,['159985'],159985.XSHE:1866000:3759990.00
2023-01-04,3732745.77,['513360'],513360.XSHG:6761700:3725696.70
2023-01-05,3698936.27,['513360'],513360.XSHG:6760900:3691451.40
2023-01-06,3739496.77,['513360'],513360.XSHG:6760800:3731961.60
2023-01-09,3874707.37,['513360'],513360.XSHG:6760400:3866948.80
2023-01-10,3882394.22,['513120'],513120.XSHG:3715200:3874953.60
2023-01-11,3971560.62,['513120'],513120.XSHG:3714600:3963478.20
2023-01-12,3923265.22,['513120'],513120.XSHG:3714800:3915399.20
2023-01-13,4094138.02,['513120'],513120.XSHG:3714600:4086060.00
2023-01-16,4197785.35,['512010'],512010.XSHG:7890200:4189696.20
2023-01-17,4174109.25,['512010'],512010.XSHG:7889700:4165761.60
2023-01-18,4134655.75,['512010'],512010.XSHG:7889800:4126365.40
2023-01-19,4221439.75,['512010'],512010.XSHG:7889400:4212939.60
2023-01-20,4205655.95,['512010'],512010.XSHG:7889500:4197214.00
2023-01-30,4166208.45,['512010'],512010.XSHG:7889500:4157766.50
2023-01-31,4071221.77,['159851'],159851.XSHE:3694000:4063400.00
2023-02-01,4199110.89,['159852'],159852.XSHE:4444500:4191163.50
