trade_date,target_symbol,is_weak,candidates_json,local_target,jq_target,target_match
2020-06-09,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 3.3781047682717085, ""annualized_return"": 3.7685759441390516, ""r_squared"": 0.8963876059139501, ""close"": 1.11}]",513520,513520,True
2020-06-10,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 3.754829958088212, ""annualized_return"": 4.088770046377188, ""r_squared"": 0.9183274959214545, ""close"": 1.119}]",513520,513520,True
2020-06-11,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 3.397769752348205, ""annualized_return"": 3.749758659095076, ""r_squared"": 0.9061302503047446, ""close"": 1.087}]",513520,513520,True
2020-06-12,513520,False,"[{""symbol"": ""513520"", ""rank"": 1, ""momentum_score"": 2.704041721806369, ""annualized_return"": 3.150062782188048, ""r_squared"": 0.8584088346099977, ""close"": 1.072}]",513520,513520,True
2020-06-15,515030,False,"[{""symbol"": ""515030"", ""rank"": 1, ""momentum_score"": 1.7617194478802436, ""annualized_return"": 2.416712449516192, ""r_squared"": 0.7289735476113126, ""close"": 0.924}, {""symbol"": ""513520"", ""rank"": 2, ""momentum_score"": 1.7157847918699818, ""annualized_return"": 2.3475043343654516, ""r_squared"": 0.730897390370004, ""close"": 1.041}]",515030,512690,False
2020-06-16,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 4.814996249286436, ""annualized_return"": 6.3912231064790985, ""r_squared"": 0.7533763364331995, ""close"": 1.03}]",513030,513030,True
2020-06-17,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 4.055379159602425, ""annualized_return"": 5.562367405329492, ""r_squared"": 0.7290743066912173, ""close"": 1.038}]",513030,513030,True
2020-06-18,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 3.2389875649106883, ""annualized_return"": 4.667700736650279, ""r_squared"": 0.6939150017648967, ""close"": 1.037}]",513030,513030,True
2020-06-19,513030,False,"[{""symbol"": ""513030"", ""rank"": 1, ""momentum_score"": 2.402865507923048, ""annualized_return"": 3.703701828238496, ""r_squared"": 0.6487740156625583, ""close"": 1.038}]",513030,515030,False
2020-06-22,515030,False,"[{""symbol"": ""515030"", ""rank"": 1, ""momentum_score"": 2.970488637001848, ""annualized_return"": 3.4457784984685285, ""r_squared"": 0.8620660435144273, ""close"": 0.984}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 2.783396414203009, ""annualized_return"": 3.3209259358211725, ""r_squared"": 0.8381386601188239, ""close"": 0.904}]",515030,515030,True
2020-06-23,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 3.6108497730670064, ""annualized_return"": 4.198867079409619, ""r_squared"": 0.8599581041214358, ""close"": 0.922}, {""symbol"": ""515030"", ""rank"": 2, ""momentum_score"": 3.278674090601841, ""annualized_return"": 3.74613103120066, ""r_squared"": 0.8752160731417352, ""close"": 0.99}]",159949,159949,True
